DHX9	NXF1
NUP98	NXF1
NXF1	RAE1
TNPO1	NXF1
NXF1	NUP214
NXF1	NUP62
HNRNPUL1	NXF1
NXF1	NUP153
TP53	USP7
TP73	EP300
FLNC	SGCG
SGCD	FLNC
MEFV	PYCARD
CLTCL1	HIP1
AP2A1	HIP1
FBXW7	CCNE1
TRIP10	CDC42
USP6NL	EPS8
SHC1	LCP2
LCP2	CBL
LCP2	FCGR1A
FCGR1A	SHC1
FCGR1A	CBL
TUBA1A	HDAC6
DCTN1	HDAC6
HDAC6	TUBA4A
COPS3	ITGB2
SLC2A4	DAXX
ARPC1B	WAS
ARPC1B	WASL
PEX11B	PEX19
PEX13	PEX14
PEX19	PEX3
PEX5	PEX14
PEX16	PEX19
PEX5	PEX12
PEX14	PEX19
HSPB1	DAXX
DAXX	FAS
MAP3K5	DAXX
TP53	BRCA1
CREB1	BRCA1
MTOR	PDPK1
MTOR	AKT1
PDPK1	RPS6KB1
AKT1	PDPK1
RPS6KB1	AKT1
CDC42	RPS6KB1
ADAP1	CSNK1A1
CSNK1A1	ETF1
CSNK1A1	HMGB1
CSNK1A1	PPP1R14A
CSNK1A1	HMGB2
CSNK1A1	SYT11
RCC1	CSNK1A1
KPNA1	CSNK1A1
ERF	CSNK1A1
CSNK1A1	YWHAZ
YWHAE	IRS1
IRS2	YWHAE
TAB1	MAPK14
E2F6	REEP5
YY1	YAF2
HTT	TAF4
HTT	SP1
HCK	WIPF1
HCK	WAS
HCK	ELMO1
HCK	DNM2
HCK	INPP5D
HCK	SOS1
HCK	SH3KBP1
HCK	ASAP1
HNRNPK	HCK
HCK	EVL
HCK	KHDRBS1
CD2AP	HCK
HCK	SH3BP1
HCK	TSG101
HCK	WDCP
HCK	PIK3R2
LCP2	HCK
HCK	PIK3R1
HCK	NCL
HCK	SF3B3
MAD2L1	INSR
CASP9	BIRC7
CASP9	BIRC5
BTRC	CDC34
MET	RANBP9
CALM1	RALA
RALB	CALM1
TGM2	PLCD1
SNAP23	TLK1
WRN	XRCC5
WRN	XRCC6
XRCC5	XRCC6
RPS6KB2	EEF2K
EEF2K	RPS6KA1
POU1F1	ETS1
AFDN	LMO2
XIAP	CASP9
BTRC	NFKBIA
FBXW11	SKP1
FBXW11	CUL1
CUL1	BTRC
BTRC	FBXW11
RBMY2FP	SRSF3
SHC1	GAB2
INPP5D	SHC1
SHC1	CSF2RB
SOS1	ITSN1
XRCC2	RAD51D
ITSN1	WASL
CRYAA	CRYBB2
CRYGC	CRYAB
CRYBB2	CRYGC
CRYGC	CRYAA
CRYAB	CRYBB2
