A2M PROC
ACSS1 ALDH1A3
ACSS1 ALDH1B1
ACSS1 ALDH2
ACSS1 ALDH3A1
ACSS1 ALDH3A2
ACSS1 ALDH3B1
ACSS1 ALDH3B2
ACSS1 ALDH7A1
ACSS1 ALDH9A1
ACSS1 CS
ACSS1 DLAT
ACSS2 ACACA
ACSS2 ACACB
ACSS2 ACADS
ACSS2 ACAT1
ACSS2 ACAT2
ACSS2 ACOT12
ACSS2 ACSS1
ACSS2 ACYP1
ACSS2 ACYP2
ACSS2 ALDH1A3
ACSS2 ALDH1B1
ACSS2 ALDH2
ACSS2 ALDH3A1
ACSS2 ALDH3A2
ACSS2 ALDH3B1
ACSS2 ALDH3B2
ACSS2 ALDH7A1
ACSS2 ALDH9A1
ACSS2 CS
ACSS2 DLAT
ACSS3 ACADS
ACSS3 ACSS1
ACSS3 ACSS2
ACTB ACTN1
ACTB ACTN4
ACTB AFDN
ACTB ARPC1A
ACTB ARPC1B
ACTB ARPC2
ACTB ARPC3
ACTB ARPC4
ACTB ARPC5
ACTB ARPC5L
ACTB CFL1
ACTB CFL2
ACTB CTNNA1
ACTB CTNNA2
ACTB CTNNA3
ACTB ITGA2B
ACTB ITGB3
ACTB MYL6
ACTB MYL6B
ACTB MYL9
ACTB PFN1
ACTB PFN2
ACTB PFN3
ACTB PFN4
ACTB PPARG
ACTB STK3
ACTB SYNPO
ACTB TJP1
ACTB TMSB4X
ACTB TMSB4Y
ACTB VCL
ACTC1 MYH6
ACTC1 MYH7
ACTC1 MYL2
ACTC1 MYL3
ACTC1 MYL4
ACTC1 TPM1
ACTC1 TPM2
ACTC1 TPM3
ACTC1 TPM4
ACTG1 ACTN1
ACTG1 ACTN4
ACTG1 AFDN
ACTG1 ARPC1A
ACTG1 ARPC1B
ACTG1 ARPC2
ACTG1 ARPC3
ACTG1 ARPC4
ACTG1 ARPC5
ACTG1 ARPC5L
ACTG1 CFL1
ACTG1 CFL2
ACTG1 CTNNA1
ACTG1 CTNNA2
ACTG1 CTNNA3
ACTG1 ITGA2B
ACTG1 ITGB3
ACTG1 MYL6
ACTG1 MYL6B
ACTG1 MYL9
ACTG1 PFN1
ACTG1 PFN2
ACTG1 PFN3
ACTG1 PFN4
ACTG1 PPARG
ACTG1 STK3
ACTG1 SYNPO
ACTG1 TJP1
ACTG1 TMSB4X
ACTG1 TMSB4Y
ACTG1 VCL
ACTL6A PPARG
ACTL6B PPARG
ACTN1 LMO7
ACTN1 MICALL2
ACTN1 SSX2IP
ACTN4 LMO7
ACTN4 MICALL2
ACTN4 SSX2IP
ACTR2 ACTB
ACTR2 ACTG1
ACTR3 ACTB
ACTR3 ACTG1
ACTR3B ACTB
ACTR3B ACTG1
ACTR3C ACTB
ACTR3C ACTG1
ACVR1 ACVR2A
ACVR1 BMPR2
ACVR1 MAPK1
ACVR1 MAPK11
ACVR1 MAPK12
ACVR1 MAPK13
ACVR1 MAPK14
ACVR1 MAPK3
ACVR1 SMAD1
ACVR1 SMAD2
ACVR1 SMAD3
ACVR1 SMAD5
ACVR1 SMAD9
ACVR1B SMAD2
ACVR1B SMAD3
ACVR1C SMAD2
ACVR1C SMAD3
ACVR2A SMAD2
ACVR2A SMAD3
ACVR2B SMAD2
ACVR2B SMAD3
ACY1 ARG1
ACY1 ARG2
ACY1 OTC
ADA PNP
ADA2 PNP
ADAM10 HBEGF
ADAM17 HBEGF
ADAM17 NOTCH1
ADAM17 NOTCH2
ADAM17 NOTCH3
ADAM17 NOTCH4
ADCY1 AK9
ADCY1 ENPP1
ADCY1 ENPP3
ADCY1 ENTPD1
ADCY1 ENTPD3
ADCY1 ENTPD8
ADCY1 NME1
ADCY1 NME1-NME2
ADCY1 NME2
ADCY1 NME3
ADCY1 NME4
ADCY1 NME6
ADCY1 NME7
ADCY1 NUDT2
ADCY1 PDE10A
ADCY1 PDE11A
ADCY1 PDE1A
ADCY1 PDE1B
ADCY1 PDE1C
ADCY1 PDE2A
ADCY1 PDE3A
ADCY1 PDE3B
ADCY1 PDE5A
ADCY1 PDE6A
ADCY1 PDE6B
ADCY1 PDE6C
ADCY1 PDE6D
ADCY1 PDE6G
ADCY1 PDE6H
ADCY1 PDE9A
ADCY1 PKLR
ADCY1 PKM
ADCY1 PRKACA
ADCY1 PRKACB
ADCY1 PRKACG
ADCY1 RAPGEF3
ADCY1 RAPGEF4
ADCY10 AK9
ADCY10 ENPP1
ADCY10 ENPP3
ADCY10 ENTPD1
ADCY10 ENTPD3
ADCY10 ENTPD8
ADCY10 NME1
ADCY10 NME1-NME2
ADCY10 NME2
ADCY10 NME3
ADCY10 NME4
ADCY10 NME6
ADCY10 NME7
ADCY10 NUDT2
ADCY10 PDE10A
ADCY10 PDE11A
ADCY10 PDE1A
ADCY10 PDE1B
ADCY10 PDE1C
ADCY10 PDE2A
ADCY10 PDE3A
ADCY10 PDE3B
ADCY10 PDE5A
ADCY10 PDE6A
ADCY10 PDE6B
ADCY10 PDE6C
ADCY10 PDE6D
ADCY10 PDE6G
ADCY10 PDE6H
ADCY10 PDE9A
ADCY10 PKLR
ADCY10 PKM
ADCY10 PRKACA
ADCY10 PRKACB
ADCY10 PRKACG
ADCY2 AK9
ADCY2 ENPP1
ADCY2 ENPP3
ADCY2 ENTPD1
ADCY2 ENTPD3
ADCY2 ENTPD8
ADCY2 NME1
ADCY2 NME1-NME2
ADCY2 NME2
ADCY2 NME3
ADCY2 NME4
ADCY2 NME6
ADCY2 NME7
ADCY2 NUDT2
ADCY2 PDE10A
ADCY2 PDE11A
ADCY2 PDE1A
ADCY2 PDE1B
ADCY2 PDE1C
ADCY2 PDE2A
ADCY2 PDE3A
ADCY2 PDE3B
ADCY2 PDE5A
ADCY2 PDE6A
ADCY2 PDE6B
ADCY2 PDE6C
ADCY2 PDE6D
ADCY2 PDE6G
ADCY2 PDE6H
ADCY2 PDE9A
ADCY2 PKLR
ADCY2 PKM
ADCY2 PRKACA
ADCY2 PRKACB
ADCY2 PRKACG
ADCY2 RAPGEF3
ADCY2 RAPGEF4
ADCY3 AK9
ADCY3 ENPP1
ADCY3 ENPP3
ADCY3 ENTPD1
ADCY3 ENTPD3
ADCY3 ENTPD8
ADCY3 NME1
ADCY3 NME1-NME2
ADCY3 NME2
ADCY3 NME3
ADCY3 NME4
ADCY3 NME6
ADCY3 NME7
ADCY3 NUDT2
ADCY3 PDE10A
ADCY3 PDE11A
ADCY3 PDE1A
ADCY3 PDE1B
ADCY3 PDE1C
ADCY3 PDE2A
ADCY3 PDE3A
ADCY3 PDE3B
ADCY3 PDE5A
ADCY3 PDE6A
ADCY3 PDE6B
ADCY3 PDE6C
ADCY3 PDE6D
ADCY3 PDE6G
ADCY3 PDE6H
ADCY3 PDE9A
ADCY3 PKLR
ADCY3 PKM
ADCY3 PRKACA
ADCY3 PRKACB
ADCY3 PRKACG
ADCY3 RAPGEF3
ADCY3 RAPGEF4
ADCY4 AK9
ADCY4 ENPP1
ADCY4 ENPP3
ADCY4 ENTPD1
ADCY4 ENTPD3
ADCY4 ENTPD8
ADCY4 NME1
ADCY4 NME1-NME2
ADCY4 NME2
ADCY4 NME3
