Dll1	Magi2
Prkce	Nos3
Prkce	Ap1b1
Prkce	Hmox1
Prkce	Hif1a
Prkce	Map2k1
Prkce	Ptgs2
Prkce	Nos2
Prkce	Erk2
Prkce	Mapk3
Prkce	Pik3c2a
Prkce	Mapk9
Prkce	Mapk8
Prkce	Mapkapk2
Prkce	Mapk14
Prkce	Akt1
Prkce	Bmx
Prkce	Lck
Prkce	Src
Prkce	Gja1
Prkce	Pik3r1
Prkce	Myl2
Prkce	Cav3
Prkce	Des
Prkce	Tmpo
Prkce	unknown
Prkce	Golga2
Prkce	Phb
Prkce	Tpm1
Prkce	Tnnt2
Prkce	Actc1
Prkce	Ptk2b
Prkce	Cryab
Prkce	Hspb1
Prkce	Hspa1a
Prkce	Akr1b1
Prkce	Acot13
Prkce	Idh3a
Prkce	Hnrnpk
Prkce	Slc25a11
Prkce	Atp5f1a
Prkce	Hnrnph1
Prkce	Pdhb
Prkce	Chchd3
Prkce	C1qa
Prkce	Crip2
Prkce	Tial1
Prkce	Rps19
Prkce	Rps18
Prkce	Rps3
Prkce	Tufm
Prkce	Hnrnpdl
Prkce	Myh7
Prkce	Hnrnpab
Prkce	Hnrnpa2b1
Prkce	H4c11
Prkce	H1-3
Prkce	Hnrnpd
Prkce	Hadha
Prkce	Vdac1
Prkce	Ndufa4
Prkce	Sdhb
Prkce	Slc25a4
Prkce	Hadhb
Prkce	Gapdh
Prkce	Eno1
Prkce	Decr1
Prkce	Ckm
Prkce	Atp5f1b
Prkce	Slc25a5
Prkce	Fhl2
Prkce	Myoz2
Prkce	Hspd1
Prkce	Hspa5
Prkce	Ldb3
Prkce	Pdlim5
Prkce	Csrp3
Prkce	Vcl
Prkce	Vim
Prkce	Pcdh12
Prkce	Tnni3
Prkce	Tnnc1
Prkce	Tmod1
Prkce	Myh6
Prkce	Lmna
Prkce	Capzb
Prkce	Capza2
Prkce	Actn2
Grb2	Cd22
Cd22	Sos1
Cd22	Syk
Plcg1	Cd22
Shc1	Cd22
Shc1	Inpp5d
Shc1	Grb2
Cd22	Inpp5d
Gipc1	Lrp2
Mapk8ip1	Lrp2
Lrp2	Dlg4
Lrp2	Mapk8ip2
Lrp2	Synj2bp
Lrp2	Gm10174
Lrp2	Dab1
Lrp2	Anapc10
Lrp1	Mapk8ip1
Lrp1	Dlg4
Lrp1	Mapk8ip2
Lrp1	Dab1
Lrp8	Mapk8ip1
Lrp8	Mapk8ip2
Lrp8	Dab1
Ldlr	Dab1
Vldlr	Dab1
Lrp1	Synj2bp
Mapk8ip3	Klc2
Mapk8ip3	Klc1
Klc2	Klc1
Hdac1	Dnmt1
Csnk2a1	Cdh1
Cbx1	Trim24
Trim24	Cbx5
Trim28	Cbx5
Trim24	Rxra
Trim24	Rara
Trim24	Esr1
Trim24	Vdr
Trim24	Pgr
Src	Ptk2
Pxn	Ptk2
Dach1	Six6
Dach1	Ncor1
Dach1	Hdac3
Dach1	Sin3a
Dach2	Ncor1
Eya3	Dach1
Kif5a	Dtnb
Htt	Rest
Cdh5	Ptprb
Ctnnb1	Tcf7l2
Ctnnbip1	Ctnnb1
Hipk2	Myb
Nlk	Hipk2
Nlk	Myb
Egfr	Eps15
Actl6b	Smarca2
Ppl	Vim
Arid1a	Smarca4
Arid1a	Smarcd1
Aph1a	Ncstn
Aph1a	Psen1
Prnp	Apoe
Ncam1	Prnp
Dpp6	Prnp
Ncam2	Prnp
Cntn1	Prnp
Prnp	Mag
Prnp	Dnm1
Prnp	Mog
Prnp	Lsamp
Prnp	Aplp1
Clu	Prnp
Opcml	Prnp
Prnp	Ntm
Nectin1	Prnp
Adam23	Prnp
P4hb	Prnp
Prnp	L1cam
Sparcl1	Prnp
Prnp	Clstn1
Aplp2	Prnp
Prnp	Hspa5
Prnp	Apbb1
Uhrf1	H2bc11
Uhrf1	H2ac4
Creb1	Myod1
Abi1	Eps8
Abi1	Sos2
Abi1	Sos1
Pbx1	Meis1
Pstpip1	Was
Grin1	Src
Grin1	Dlg3
Grin1	Ptk2b
Grin1	Prkce
Grin1	Prkcg
Grin1	Prkcb
Grin1	Camk2b
Grin1	Akap9
Grin1	Homer1
Grin1	Dlg4
Grin1	Grik2
Grin1	Grm1
Grin1	Prkaca
Grin1	Tuba1a
Grin1	Myo5a
Grin1	Cltc
Grin1	Shank2
Grin1	Actb
Grin1	Itpka
Grin1	Dusp4
Grin1	Prkar2b
Grin1	Dlgap1
Grin1	Dlg2
Grin1	Grin2b
Grin1	Grin2a
Grin1	Nsf
Grin1	Arc
Grin1	Cdh2
Grin1	L1cam
Grin1	Cttn
Grin1	Dsg1a
Grin1	Ctnnb1
Grin1	Map2
Grin1	Sptbn1
Grin1	Actn2
Grin1	Dnm1
Grin1	Nos1
Grin1	Raf1
Grin1	Rps6ka3
Grin1	Map2k2
Grin1	Map2k1
Grin1	Mapk1
Grin1	Mapk3
Grin1	Pla2g4a
