gid	sym
100532726	NDUFC2-KCTD14
10063	COX17
10312	TCIRG1
10476	ATP5H
10632	ATP5L
10975	UQCR11
125965	COX6B2
126328	NDUFA11
127124	ATP6V1G3
1327	COX4I1
1329	COX5B
1337	COX6A1
1339	COX6A2
1340	COX6B1
1345	COX6C
1346	COX7A1
1347	COX7A2
1349	COX7B
1350	COX7C
1351	COX8A
1352	COX10
1353	COX11
1355	COX15
1537	CYC1
155066	ATP6V0E2
170712	COX7B2
23545	ATP6V0A2
245972	ATP6V0D2
245973	ATP6V1C2
27068	PPA2
27089	UQCRQ
29796	UQCR10
341947	COX8C
374291	NDUFS7
440567	UQCRHL
4508	ATP6
4509	ATP8
4512	COX1
4513	COX2
4514	COX3
4519	CYTB
4535	ND1
4536	ND2
4537	ND3
4538	ND4
4539	ND4L
4540	ND5
4541	ND6
4694	NDUFA1
4695	NDUFA2
4696	NDUFA3
4697	NDUFA4
4698	NDUFA5
4700	NDUFA6
4701	NDUFA7
4702	NDUFA8
4704	NDUFA9
4705	NDUFA10
4706	NDUFAB1
4707	NDUFB1
4708	NDUFB2
4709	NDUFB3
4710	NDUFB4
4711	NDUFB5
4712	NDUFB6
4713	NDUFB7
4714	NDUFB8
4715	NDUFB9
4716	NDUFB10
4717	NDUFC1
4718	NDUFC2
4719	NDUFS1
4720	NDUFS2
4722	NDUFS3
4723	NDUFV1
4724	NDUFS4
4725	NDUFS5
4726	NDUFS6
4728	NDUFS8
4729	NDUFV2
4731	NDUFV3
479	ATP12A
495	ATP4A
496	ATP4B
498	ATP5A1
506	ATP5B
50617	ATP6V0A4
509	ATP5C1
51079	NDUFA13
513	ATP5D
51382	ATP6V1D
514	ATP5E
515	ATP5F1
516	ATP5G1
51606	ATP6V1H
517	ATP5G2
518	ATP5G3
521	ATP5I
522	ATP5J
523	ATP6V1A
525	ATP6V1B1
526	ATP6V1B2
527	ATP6V0C
528	ATP6V1C1
529	ATP6V1E1
533	ATP6V0B
534	ATP6V1G2
535	ATP6V0A1
537	ATP6AP1
539	ATP5O
54539	NDUFB11
5464	PPA1
55967	NDUFA12
56901	NDUFA4L2
6389	SDHA
6390	SDHB
6391	SDHC
6392	SDHD
64077	LHPP
7381	UQCRB
7384	UQCRC1
7385	UQCRC2
7386	UQCRFS1
7388	UQCRH
84701	COX4I2
8992	ATP6V0E1
90423	ATP6V1E2
9114	ATP6V0D1
9167	COX7A2L
9296	ATP6V1F
9377	COX5A
9550	ATP6V1G1
9551	ATP5J2
