gid	sym
10013	HDAC6
10014	HDAC5
10488	CREB3
10645	CAMKK2
10681	GNB5
111	ADCY5
116443	GRIN3A
116444	GRIN3B
121504	HIST4H4
126961	HIST2H3C
128312	HIST3H2BB
135	ADORA2A
136	ADORA2B
1385	CREB1
1386	ATF2
1388	ATF6B
1392	CRH
148327	CREB3L4
158983	H2BFWT
163688	CALML6
1644	DDC
1812	DRD1
1813	DRD2
2030	SLC29A1
221613	HIST1H2AA
2354	FOSB
255626	HIST1H2BA
25759	SHC2
2770	GNAI1
2771	GNAI2
2773	GNAI3
2775	GNAO1
2778	GNAS
2782	GNB1
2783	GNB2
2784	GNB3
2785	GNG3
2786	GNG4
2787	GNG5
2788	GNG7
2790	GNG10
2791	GNG11
2792	GNGT1
2793	GNGT2
286436	H2BFM
2885	GRB2
2902	GRIN1
2903	GRIN2A
2904	GRIN2B
2905	GRIN2C
2906	GRIN2D
3012	HIST1H2AE
3013	HIST1H2AD
3014	H2AFX
3015	H2AFZ
3017	HIST1H2BD
3018	HIST1H2BB
3020	H3F3A
3021	H3F3B
3065	HDAC1
3066	HDAC2
317772	HIST2H2AB
3265	HRAS
333932	HIST2H3A
369	ARAF
3845	KRAS
399694	SHC4
4128	MAOA
4129	MAOB
440093	H3F3C
440689	HIST2H2BF
468	ATF4
474381	H2AFB2
474382	H2AFB1
4852	NPY
4893	NRAS
4915	NTRK2
51564	HDAC7
5173	PDYN
51764	GNG13
51806	CALML5
53358	SHC3
54331	GNG2
5499	PPP1CA
5500	PPP1CB
5501	PPP1CC
554313	HIST2H4B
55506	H2AFY2
5566	PRKACA
5569	PKIA
55766	H2AFJ
55869	HDAC8
5594	MAPK1
5595	MAPK3
55970	GNG12
5604	MAP2K1
5894	RAF1
59345	GNB4
627	BDNF
6464	SHC1
64764	CREB3L2
6531	SLC6A3
653604	HIST2H3D
6570	SLC18A1
6571	SLC18A2
6654	SOS1
6655	SOS2
673	BRAF
7054	TH
723790	HIST2H2AA4
79885	HDAC11
801	CALM1
805	CALM2
808	CALM3
810	CALML3
814	CAMK4
8290	HIST3H3
8294	HIST1H4I
8329	HIST1H2AI
8330	HIST1H2AK
8331	HIST1H2AJ
8332	HIST1H2AL
8334	HIST1H2AC
8335	HIST1H2AB
8336	HIST1H2AM
8337	HIST2H2AA3
8338	HIST2H2AC
8339	HIST1H2BG
8340	HIST1H2BL
8341	HIST1H2BN
8342	HIST1H2BM
8343	HIST1H2BF
8344	HIST1H2BE
8345	HIST1H2BH
8346	HIST1H2BI
8347	HIST1H2BC
8348	HIST1H2BO
8349	HIST2H2BE
8350	HIST1H3A
8351	HIST1H3D
8352	HIST1H3C
8353	HIST1H3E
8354	HIST1H3I
8355	HIST1H3G
8356	HIST1H3J
8357	HIST1H3H
8358	HIST1H3B
8359	HIST1H4A
8360	HIST1H4D
8361	HIST1H4F
8362	HIST1H4K
8363	HIST1H4J
8364	HIST1H4C
8365	HIST1H4H
8366	HIST1H4B
8367	HIST1H4E
8368	HIST1H4L
8369	HIST1H4G
8370	HIST2H4A
83740	H2AFB3
83933	HDAC10
84152	PPP1R1B
84254	CAMKK1
84699	CREB3L3
8520	HAT1
85235	HIST1H2AH
85236	HIST1H2BK
8841	HDAC3
8968	HIST1H3F
8969	HIST1H2AG
8970	HIST1H2BJ
90993	CREB3L1
92815	HIST3H2A
94235	GNG8
94239	H2AFV
9555	H2AFY
9586	CREB5
9734	HDAC9
9759	HDAC4
