gid	sym
10558	SPTLC1
10715	CERS1
10825	NEU3
123099	DEGS2
125981	ACER1
129807	NEU4
130367	SGPP2
166929	SGMS2
204219	CERS3
2531	KDSR
253782	CERS6
2581	GALC
259230	SGMS1
2629	GBA
2717	GLA
2720	GLB1
29956	CERS2
339221	ENPP7
340485	ACER2
410	ARSA
427	ASAH1
4758	NEU1
4759	NEU2
55304	SPTLC3
55331	ACER3
55512	SMPD3
55627	SMPD4
56624	ASAH2
56848	SPHK2
57704	GBA2
64781	CERK
6609	SMPD1
6610	SMPD2
7357	UGCG
7368	UGT8
79603	CERS4
81537	SGPP1
8560	DEGS1
8611	PLPP1
8612	PLPP2
8613	PLPP3
8877	SPHK1
8879	SGPL1
91012	CERS5
9331	B4GALT6
9514	GAL3ST1
9517	SPTLC2
