gid	sym
10000	AKT3
10018	BCL2L11
100533105	C8orf44-SGK3
10110	SGK2
10161	LPAR6
1017	CDK2
1019	CDK4
1021	CDK6
1026	CDKN1A
1027	CDKN1B
102723407	LOC102723407
10319	LAMC3
10488	CREB3
10681	GNB5
10971	YWHAQ
1101	CHAD
11140	CDC37
1128	CHRM1
1129	CHRM2
1147	CHUK
117145	THEM4
118788	PIK3AP1
1277	COL1A1
1278	COL1A2
1280	COL2A1
1282	COL4A1
1284	COL4A2
1285	COL4A3
1286	COL4A4
1287	COL4A5
1288	COL4A6
1291	COL6A1
1292	COL6A2
1293	COL6A3
1297	COL9A1
1298	COL9A2
1299	COL9A3
1311	COMP
131873	COL6A6
1385	CREB1
1386	ATF2
1388	ATF6B
1435	CSF1
1436	CSF1R
1440	CSF3
1441	CSF3R
1442	CSH1
1443	CSH2
148327	CREB3L4
1902	LPAR1
1942	EFNA1
1943	EFNA2
1944	EFNA3
1945	EFNA4
1946	EFNA5
1950	EGF
1956	EGFR
1969	EPHA2
1975	EIF4B
1977	EIF4E
1978	EIF4EBP1
200186	CRTC2
2056	EPO
2057	EPOR
207	AKT1
208	AKT2
2149	F2R
2246	FGF1
2247	FGF2
2248	FGF3
2249	FGF4
2250	FGF5
2251	FGF6
2252	FGF7
2253	FGF8
2254	FGF9
2255	FGF10
2256	FGF11
2257	FGF12
2258	FGF13
2259	FGF14
2260	FGFR1
2261	FGFR3
2263	FGFR2
2264	FGFR4
2277	FIGF
22798	LAMB4
22801	ITGA11
23035	PHLPP2
2309	FOXO3
2321	FLT1
23239	PHLPP1
2324	FLT4
2335	FN1
23533	PIK3R5
23566	LPAR3
23678	SGK3
2475	MTOR
253314	EIF4E1B
2538	G6PC
256076	COL6A5
26281	FGF20
26291	FGF21
2688	GH1
2689	GH2
2690	GHR
27006	FGF22
2782	GNB1
2783	GNB2
2784	GNB3
2785	GNG3
2786	GNG4
2787	GNG5
2788	GNG7
2790	GNG10
2791	GNG11
2792	GNGT1
2793	GNGT2
28227	PPP2R3B
284	ANGPT1
284217	LAMA1
2846	LPAR4
285	ANGPT2
2885	GRB2
2932	GSK3B
29941	PKN3
2997	GYS1
2998	GYS2
3082	HGF
3164	NR4A1
3265	HRAS
3320	HSP90AA1
3326	HSP90AB1
3371	TNC
3381	IBSP
3439	IFNA1
3440	IFNA2
3441	IFNA4
3442	IFNA5
3443	IFNA6
3444	IFNA7
3445	IFNA8
3446	IFNA10
3447	IFNA13
3448	IFNA14
3449	IFNA16
3451	IFNA17
3452	IFNA21
3454	IFNAR1
3455	IFNAR2
3456	IFNB1
3479	IGF1
3480	IGF1R
3551	IKBKB
3558	IL2
3559	IL2RA
356	FASLG
3560	IL2RB
3561	IL2RG
3562	IL3
3563	IL3RA
3565	IL4
3566	IL4R
3569	IL6
3570	IL6R
3574	IL7
3575	IL7R
3630	INS
3643	INSR
3655	ITGA6
3667	IRS1
3672	ITGA1
3673	ITGA2
3674	ITGA2B
3675	ITGA3
3676	ITGA4
3678	ITGA5
3679	ITGA7
3680	ITGA9
3685	ITGAV
3688	ITGB1
3690	ITGB3
3691	ITGB4
3693	ITGB5
3694	ITGB6
3695	ITGB7
3696	ITGB8
3716	JAK1
3717	JAK2
3718	JAK3
3791	KDR
3815	KIT
3845	KRAS
3908	LAMA2
3909	LAMA3
3910	LAMA4
3911	LAMA5
3912	LAMB1
3913	LAMB2
3914	LAMB3
3915	LAMC1
3918	LAMC2
4170	MCL1
4193	MDM2
4233	MET
4254	KITLG
4515	MTCP1
4602	MYB
4609	MYC
468	ATF4
4790	NFKB1
4803	NGF
4804	NGFR
4846	NOS3
4893	NRAS
5008	OSM
5105	PCK1
5106	PCK2
51378	ANGPT4
5154	PDGFA
5155	PDGFB
5156	PDGFRA
5159	PDGFRB
5170	PDPK1
51764	GNG13
5228	PGF
5290	PIK3CA
5291	PIK3CB
5293	PIK3CD
5294	PIK3CG
5295	PIK3R1
5296	PIK3R2
54331	GNG2
54541	DDIT4
55012	PPP2R3C
5515	PPP2CA
5516	PPP2CB
5518	PPP2R1A
5519	PPP2R1B
5520	PPP2R2A
5521	PPP2R2B
5522	PPP2R2C
5523	PPP2R3A
5525	PPP2R5A
5526	PPP2R5B
5527	PPP2R5C
5528	PPP2R5D
5529	PPP2R5E
5562	PRKAA1
5563	PRKAA2
5578	PRKCA
55844	PPP2R2D
5585	PKN1
5586	PKN2
5594	MAPK1
5595	MAPK3
55970	GNG12
56034	PDGFC
5604	MAP2K1
5605	MAP2K2
5617	PRL
5618	PRLR
5649	RELN
57121	LPAR5
572	BAD
5728	PTEN
5747	PTK2
57521	RPTOR
57818	G6PC2
5879	RAC1
5894	RAF1
5934	RBL2
59345	GNB4
595	CCND1
596	BCL2
5970	RELA
598	BCL2L1
6009	RHEB
6194	RPS6
6198	RPS6KB1
6199	RPS6KB2
6256	RXRA
63923	TNN
64223	MLST8
6446	SGK1
64764	CREB3L2
6654	SOS1
6655	SOS2
6696	SPP1
672	BRCA1
6794	STK11
6850	SYK
7010	TEK
7057	THBS1
7058	THBS2
7059	THBS3
7060	THBS4
7097	TLR2
7099	TLR4
7143	TNR
7148	TNXB
7157	TP53
7184	HSP90B1
7248	TSC1
7249	TSC2
7422	VEGFA
7423	VEGFB
7424	VEGFC
7448	VTN
7450	VWF
7529	YWHAB
7531	YWHAE
7532	YWHAG
7533	YWHAH
7534	YWHAZ
80310	PDGFD
8074	FGF23
8115	TCL1A
842	CASP9
84699	CREB3L3
8503	PIK3R3
8515	ITGA10
8516	ITGA8
8517	IKBKG
8817	FGF18
8822	FGF17
8823	FGF16
894	CCND2
896	CCND3
898	CCNE1
90993	CREB3L1
9134	CCNE2
9170	LPAR2
9180	OSMR
92579	G6PC3
930	CD19
94235	GNG8
9470	EIF4E2
9586	CREB5
9623	TCL1B
9965	FGF19
