gid	sym
10720	UGT2B11
10941	UGT2A1
11181	TREH
178	AGL
2538	G6PC
2548	GAA
2595	GANC
2632	GBE1
2645	GCK
276	AMY1A
277	AMY1B
278	AMY1C
279	AMY2A
280	AMY2B
2821	GPI
283209	PGM2L1
2990	GUSB
2997	GYS1
2998	GYS2
3098	HK1
3099	HK2
3101	HK3
5167	ENPP1
5169	ENPP3
5236	PGM1
54490	UGT2B28
54575	UGT1A10
54576	UGT1A8
54577	UGT1A7
54578	UGT1A6
54579	UGT1A5
54600	UGT1A9
54657	UGT1A4
54658	UGT1A1
54659	UGT1A3
55276	PGM2
574537	UGT2A2
57733	GBA3
57818	G6PC2
5834	PYGB
5836	PYGL
5837	PYGM
6476	SI
7358	UGDH
7360	UGP2
7363	UGT2B4
7364	UGT2B7
7365	UGT2B10
7366	UGT2B15
7367	UGT2B17
79799	UGT2A3
80146	UXS1
80201	HKDC1
8972	MGAM
92579	G6PC3
9365	KL
