gid	sym
10000	AKT3
10488	CREB3
10645	CAMKK2
107	ADCY1
108	ADCY2
10891	PPARGC1A
109	ADCY3
10919	EHMT2
111	ADCY5
112	ADCY6
113	ADCY7
114	ADCY8
115	ADCY9
1385	CREB1
1386	ATF2
1388	ATF6B
143686	SESN3
148327	CREB3L4
196883	ADCY4
1977	EIF4E
1978	EIF4EBP1
207	AKT1
208	AKT2
2308	FOXO1
2309	FOXO3
23411	SIRT1
23533	PIK3R5
2475	MTOR
253314	EIF4E1B
25989	ULK3
26060	APPL1
27244	SESN1
3265	HRAS
3479	IGF1
3480	IGF1R
3630	INS
3643	INSR
3667	IRS1
3845	KRAS
468	ATF4
4790	NFKB1
4893	NRAS
51094	ADIPOR1
51422	PRKAG2
5290	PIK3CA
5291	PIK3CB
5293	PIK3CD
5294	PIK3CG
5295	PIK3R1
5296	PIK3R2
53632	PRKAG3
5468	PPARG
5562	PRKAA1
5563	PRKAA2
5564	PRKAB1
5565	PRKAB2
5566	PRKACA
5567	PRKACB
5568	PRKACG
5571	PRKAG1
57521	RPTOR
581	BAX
5970	RELA
6009	RHEB
60673	ATG101
6198	RPS6KB1
6199	RPS6KB2
64764	CREB3L2
6648	SOD2
6794	STK11
7157	TP53
7248	TSC1
7249	TSC2
79602	ADIPOR2
79813	EHMT1
814	CAMK4
83667	SESN2
8408	ULK1
84254	CAMKK1
84335	AKT1S1
84699	CREB3L3
847	CAT
8471	IRS4
8503	PIK3R3
8660	IRS2
90993	CREB3L1
9365	KL
9370	ADIPOQ
9470	EIF4E2
9474	ATG5
9586	CREB5
9706	ULK2
9776	ATG13
9821	RB1CC1
