gid	sym
10297	APC2
11211	FZD10
1499	CTNNB1
1855	DVL1
1856	DVL2
1857	DVL3
2535	FZD2
27148	STK36
2735	GLI1
2736	GLI2
2737	GLI3
2932	GSK3B
324	APC
51176	LEF1
51384	WNT16
51684	SUFU
54361	WNT4
5727	PTCH1
64399	HHIP
6469	SHH
650	BMP2
652	BMP4
6608	SMO
6932	TCF7
6934	TCF7L2
7157	TP53
7471	WNT1
7472	WNT2
7473	WNT3
7474	WNT5A
7475	WNT6
7476	WNT7A
7477	WNT7B
7478	WNT8A
7479	WNT8B
7480	WNT10B
7481	WNT11
7482	WNT2B
7483	WNT9A
7484	WNT9B
7855	FZD5
7976	FZD3
80326	WNT10A
81029	WNT5B
8312	AXIN1
8313	AXIN2
8321	FZD1
8322	FZD4
8323	FZD6
8324	FZD7
8325	FZD8
8326	FZD9
83439	TCF7L1
8643	PTCH2
89780	WNT3A
