gid	sym
100534599	ISY1-RAB43
10084	PQBP1
10189	ALYREF
10262	SF3B4
102724594	U2AF1L5
10285	SMNDC1
10286	BCAS2
10291	SF3A1
10450	PPIE
10465	PPIH
10523	CHERP
10569	SLU7
10594	PRPF8
10713	USP39
10772	SRSF10
10907	TXNL4A
10915	TCERG1
10929	SRSF8
10946	SF3A3
10992	SF3B2
11017	SNRNP27
11157	LSM6
11325	DDX42
11338	U2AF2
139804	RBMXL3
144983	HNRNPA1L2
151903	CCDC12
153527	ZMAT2
1655	DDX5
1659	DHX8
1665	DHX15
199746	U2AF1L4
220988	HNRNPA3
22827	PUF60
22916	NCBP2
22938	SNW1
22985	ACIN1
23020	SNRNP200
23350	U2SURP
23450	SF3B3
23451	SF3B1
23658	LSM5
24148	PRPF6
25766	PRPF40B
25804	LSM4
25949	SYF2
26121	PRPF31
26827	RNU6-1
27258	LSM3
27288	RBMXL2
27316	RBMX
27339	PRPF19
29896	TRA2A
3178	HNRNPA1
3183	HNRNPC
3190	HNRNPK
3192	HNRNPU
3303	HSPA1A
3304	HSPA1B
3305	HSPA1L
3306	HSPA2
3310	HSPA6
3312	HSPA8
4116	MAGOH
4670	HNRNPM
4686	NCBP1
4809	SNU13
494115	RBMXL1
5093	PCBP1
51340	CRNKL1
51362	CDC40
51503	CWC15
51639	SF3B6
51645	PPIL1
51690	LSM7
51691	LSM8
51729	WBP11
5356	PLRG1
55110	MAGOHB
55119	PRPF38B
55660	PRPF40A
55696	RBM22
56259	CTNNBL1
56949	XAB2
57187	THOC2
57461	ISY1
57819	LSM2
58517	RBM25
6100	RP9
6426	SRSF1
6427	SRSF2
6428	SRSF3
6429	SRSF4
6430	SRSF5
6431	SRSF6
6432	SRSF7
6434	TRA2B
6625	SNRNP70
6626	SNRPA
6627	SNRPA1
6628	SNRPB
6629	SNRPB2
6631	SNRPC
6632	SNRPD1
6633	SNRPD2
6634	SNRPD3
6635	SNRPE
6636	SNRPF
6637	SNRPG
7307	U2AF1
7919	DDX39B
8175	SF3A2
83443	SF3B5
84321	THOC3
8449	DHX16
84844	PHF5A
84950	PRPF38A
84991	RBM17
8559	PRPF18
8683	SRSF9
8896	BUD31
9092	SART1
9128	PRPF4
9129	PRPF3
9343	EFTUD2
9410	SNRNP40
9416	DDX23
9716	AQR
9775	EIF4A3
9785	DHX38
9879	DDX46
988	CDC5L
9939	RBM8A
9984	THOC1
