gid	sym
100137049	PLA2G4B
10672	GNA13
10842	PPP1R17
123745	PLA2G4E
1392	CRH
1394	CRHR1
23236	PLCB1
255189	PLA2G4F
2767	GNA11
2768	GNA12
2770	GNAI1
2771	GNAI2
2773	GNAI3
2775	GNAO1
2776	GNAQ
2778	GNAS
2781	GNAZ
283748	PLA2G4D
2890	GRIA1
2891	GRIA2
2892	GRIA3
2895	GRID2
2911	GRM1
2977	GUCY1A2
2982	GUCY1A3
2983	GUCY1B3
3265	HRAS
3479	IGF1
3480	IGF1R
369	ARAF
3708	ITPR1
3709	ITPR2
3710	ITPR3
3845	KRAS
4067	LYN
4842	NOS1
4893	NRAS
5321	PLA2G4A
5330	PLCB2
5331	PLCB3
5332	PLCB4
5515	PPP2CA
5516	PPP2CB
5518	PPP2R1A
5519	PPP2R1B
5578	PRKCA
5579	PRKCB
5582	PRKCG
5592	PRKG1
5593	PRKG2
5594	MAPK1
5595	MAPK3
5604	MAP2K1
5605	MAP2K2
5894	RAF1
6261	RYR1
673	BRAF
773	CACNA1A
8605	PLA2G4C
8681	JMJD7-PLA2G4B
