gid	sym
119391	GSTO2
124975	GGT6
221357	GSTA5
2539	G6PD
257202	GPX6
2678	GGT1
2686	GGT7
2687	GGT5
26873	OPLAH
2729	GCLC
2730	GCLM
27306	HPGDS
2876	GPX1
2877	GPX2
2878	GPX3
2879	GPX4
2880	GPX5
2882	GPX7
290	ANPEP
2936	GSR
2937	GSS
2938	GSTA1
2939	GSTA2
2940	GSTA3
2941	GSTA4
2944	GSTM1
2946	GSTM2
2947	GSTM3
2948	GSTM4
2949	GSTM5
2950	GSTP1
2952	GSTT1
2953	GSTT2
3417	IDH1
3418	IDH2
373156	GSTK1
4257	MGST1
4258	MGST2
4259	MGST3
493869	GPX8
4953	ODC1
50484	RRM2B
51056	LAP3
51060	TXNDC12
5226	PGD
6240	RRM1
6241	RRM2
653689	GSTT2B
6611	SMS
6723	SRM
79017	GGCT
9446	GSTO1
