gid	sym
10000	AKT3
10333	TLR6
107	ADCY1
1147	CHUK
1432	MAPK14
148022	TICAM1
1636	ACE
207	AKT1
208	AKT2
23236	PLCB1
2353	FOS
23533	PIK3R5
2767	GNA11
2769	GNA15
2770	GNAI1
2771	GNAI2
2773	GNAI3
2774	GNAL
2775	GNAO1
2776	GNAQ
2778	GNAS
3456	IFNB1
3458	IFNG
3459	IFNGR1
3460	IFNGR2
355	FAS
3551	IKBKB
3553	IL1B
3558	IL2
356	FASLG
3569	IL6
3576	CXCL8
3586	IL10
3592	IL12A
3593	IL12B
3654	IRAK1
3725	JUN
4087	SMAD2
4088	SMAD3
414062	CCL3L3
4615	MYD88
4790	NFKB1
4792	NFKBIA
4843	NOS2
5054	SERPINE1
51135	IRAK4
5290	PIK3CA
5291	PIK3CB
5293	PIK3CD
5294	PIK3CG
5295	PIK3R1
5296	PIK3R2
5330	PLCB2
5331	PLCB3
5332	PLCB4
54106	TLR9
5515	PPP2CA
5516	PPP2CB
5518	PPP2R1A
5519	PPP2R1B
5520	PPP2R2A
5521	PPP2R2B
5522	PPP2R2C
55844	PPP2R2D
5594	MAPK1
5595	MAPK3
5599	MAPK8
5600	MAPK11
5601	MAPK9
5602	MAPK10
5603	MAPK13
5970	RELA
624	BDKRB2
6300	MAPK12
6347	CCL2
6348	CCL3
6349	CCL3L1
6352	CCL5
6416	MAP2K4
7040	TGFB1
7042	TGFB2
7043	TGFB3
7046	TGFBR1
7048	TGFBR2
7097	TLR2
7099	TLR4
712	C1QA
7124	TNF
713	C1QB
7132	TNFRSF1A
714	C1QC
718	C3
7189	TRAF6
811	CALR
841	CASP8
8503	PIK3R3
8517	IKBKG
8772	FADD
8837	CFLAR
915	CD3D
916	CD3E
917	CD3G
919	CD247
9630	GNA14
