gid	sym
10488	CREB3
107	ADCY1
108	ADCY2
1081	CGA
109	ADCY3
111	ADCY5
112	ADCY6
113	ADCY7
114	ADCY8
115	ADCY9
1385	CREB1
1386	ATF2
1388	ATF6B
148327	CREB3L4
196883	ADCY4
23236	PLCB1
23439	ATP1B4
257202	GPX6
2776	GNAQ
2778	GNAS
2876	GPX1
2877	GPX2
2878	GPX3
2880	GPX5
2882	GPX7
2936	GSR
3309	HSPA5
3708	ITPR1
3709	ITPR2
3710	ITPR3
389434	IYD
4036	LRP2
405753	DUOXA2
432	ASGR1
433	ASGR2
468	ATF4
476	ATP1A1
477	ATP1A2
478	ATP1A3
480	ATP1A4
481	ATP1B1
482	ATP1B2
483	ATP1B3
486	FXYD2
493869	GPX8
50506	DUOX2
5172	SLC26A4
5330	PLCB2
5331	PLCB3
5332	PLCB4
5566	PRKACA
5567	PRKACB
5568	PRKACG
5578	PRKCA
5579	PRKCB
5582	PRKCG
64764	CREB3L2
6528	SLC5A5
7038	TG
7173	TPO
7184	HSP90B1
7252	TSHB
7253	TSHR
7270	TTF1
7849	PAX8
821	CANX
8458	TTF2
84699	CREB3L3
90993	CREB3L1
9586	CREB5
9601	PDIA4
