gid	sym
10056	FARSB
10352	WARS2
10667	FARS2
118672	PSTK
123263	MTFMT
123283	TARSL2
124454	EARS2
16	AARS
1615	DARS
2058	EPRS
2193	FARSA
23395	LARS2
23438	HARS2
25973	PARS2
2617	GARS
283459	GATC
3035	HARS
3376	IARS
3735	KARS
4141	MARS
4511	TRNC
4553	TRNA
4555	TRND
4556	TRNE
4558	TRNF
4563	TRNG
4564	TRNH
4565	TRNI
4566	TRNK
4567	TRNL1
4568	TRNL2
4569	TRNM
4570	TRNN
4571	TRNP
4572	TRNQ
4573	TRNR
4574	TRNS1
4575	TRNS2
4576	TRNT
4577	TRNV
4578	TRNW
4579	TRNY
4677	NARS
51067	YARS2
51091	SEPSECS
51520	LARS
5188	GATB
54938	SARS2
55157	DARS2
55278	QRSL1
55699	IARS2
57038	RARS2
57176	VARS2
57505	AARS2
5859	QARS
5917	RARS
6301	SARS
6897	TARS
7407	VARS
7453	WARS
79587	CARS2
79731	NARS2
80222	TARS2
833	CARS
8565	YARS
92935	MARS2
