gid	sym
10000	AKT3
10297	APC2
1495	CTNNA1
1496	CTNNA2
1499	CTNNB1
1950	EGF
1956	EGFR
2002	ELK1
2064	ERBB2
207	AKT1
208	AKT2
2309	FOXO3
23533	PIK3R5
2885	GRB2
29119	CTNNA3
2932	GSK3B
324	APC
3265	HRAS
3611	ILK
369	ARAF
3845	KRAS
4292	MLH1
4609	MYC
4893	NRAS
51176	LEF1
5170	PDPK1
5290	PIK3CA
5291	PIK3CB
5293	PIK3CD
5294	PIK3CG
5295	PIK3R1
5296	PIK3R2
5594	MAPK1
5595	MAPK3
5604	MAP2K1
5605	MAP2K2
572	BAD
5728	PTEN
5894	RAF1
595	CCND1
6654	SOS1
6655	SOS2
673	BRAF
6932	TCF7
6934	TCF7L2
7157	TP53
8312	AXIN1
8313	AXIN2
83439	TCF7L1
842	CASP9
8503	PIK3R3
999	CDH1
