gid	sym
10092	ARPC5
10093	ARPC4
10094	ARPC3
10095	ARPC1B
10109	ARPC2
10163	WASF2
10552	ARPC1A
1432	MAPK14
1437	CSF2
147700	KLC3
1778	DYNC1H1
1780	DYNC1I1
1781	DYNC1I2
1783	DYNC1LI2
2316	FLNA
2317	FLNB
2318	FLNC
23207	PLEKHM2
2353	FOS
29108	PYCARD
2919	CXCL1
2920	CXCL2
2921	CXCL3
29941	PKN3
338382	RAB7B
345456	PFN3
3458	IFNG
3459	IFNGR1
3460	IFNGR2
3552	IL1A
3553	IL1B
3569	IL6
3576	CXCL8
3606	IL18
3725	JUN
375189	PFN4
3831	KLC1
388372	CCL4L1
391	RHOG
3929	LBP
414062	CCL3L3
4615	MYD88
4627	MYH9
4628	MYH10
4790	NFKB1
4843	NOS2
51143	DYNC1LI1
5216	PFN1
5217	PFN2
5585	PKN1
5586	PKN2
5594	MAPK1
5595	MAPK3
5599	MAPK8
5600	MAPK11
5601	MAPK9
5602	MAPK10
5603	MAPK13
58484	NLRC4
5879	RAC1
5970	RELA
60	ACTB
6093	ROCK1
6300	MAPK12
6348	CCL3
6349	CCL3L1
6351	CCL4
64837	KLC2
7082	TJP1
7099	TLR4
71	ACTG1
7100	TLR5
7454	WAS
7879	RAB7A
79659	DYNC2H1
79784	MYH14
81873	ARPC5L
834	CASP1
83547	RILP
8936	WASF1
8976	WASL
89953	KLC4
929	CD14
9475	ROCK2
9560	CCL4L2
998	CDC42
