shape	coords	gid	sym.path.compounds.map
circle	802 77 4	NA	C03406
circle	685 199 4	NA	C00327
circle	937 198 4	NA	C00062
circle	745 308 4	NA	C00077
circle	396 263 4	NA	C00169
circle	671 133 4	NA	C00049
circle	937 131 4	NA	C00122
circle	180 263 4	NA	C00014
circle	280 363 4	NA	C00624
circle	380 363 4	NA	C04133
circle	480 363 4	NA	C01250
circle	180 151 4	NA	C00064
circle	882 342 4	NA	C00086
circle	989 342 4	NA	C01010
circle	1094 342 4	NA	C00011
circle	580 199 4	NA	C15532
circle	67 363 4	NA	C00026
circle	580 363 4	NA	C00437
circle	280 413 4	NA	C20948
circle	380 413 4	NA	C20949
circle	480 413 4	NA	C20950
circle	580 413 4	NA	C20951
circle	180 363 4	NA	C00025
rect	132 194 178 211	14660	Gls
rect	132 194 178 211	216456	Gls2
rect	79 194 125 211	14645	Glul
rect	260 256 306 273	227231	Cps1
rect	667 229 713 246	18416	Otc
rect	701 102 747 119	11898	Ass1
rect	871 100 917 117	109900	Asl
rect	868 288 914 305	11846	Arg1
rect	868 288 914 305	11847	Arg2
rect	205 354 251 371	217214	Nags
rect	608 344 654 361	109652	Acy1
rect	757 198 803 215	18125	Nos1
rect	757 198 803 215	18126	Nos2
rect	757 198 803 215	18127	Nos3
rect	132 315 178 332	14661	Glud1
rect	101 344 147 361	102643267	LOC102643267
rect	101 344 147 361	14718	Got1
rect	101 344 147 361	14719	Got2
rect	101 365 147 382	108682	Gpt2
rect	101 365 147 382	76282	Gpt
rect	471 116 596 150	NA	mmu00250
rect	982 119 1059 144	NA	mmu00020
rect	785 241 882 275	NA	mmu00472
rect	334 162 451 187	NA	mmu00910
rect	456 209 528 243	NA	mmu00240
rect	29 287 105 312	NA	mmu00020
rect	40 45 233 70	NA	mmu00220
rect	1012 181 1133 215	NA	mmu00330
