shape	coords	gid	sym.path.compounds.map
circle	422 391 4	NA	C01528
circle	799 391 4	NA	C05697
circle	714 391 4	NA	C05684
circle	198 458 4	NA	C05172
circle	169 427 4	NA	C06481
circle	65 458 4	NA	C06482
circle	286 331 4	NA	C05689
circle	380 287 4	NA	C05695
circle	198 391 4	NA	C05688
circle	198 331 4	NA	C05699
circle	198 254 4	NA	C05698
circle	198 176 4	NA	C05335
circle	198 107 4	NA	C05690
circle	65 176 4	NA	C05336
circle	65 331 4	NA	C00017
circle	422 176 4	NA	C05703
circle	524 238 4	NA	C02535
circle	524 176 4	NA	C18902
circle	380 331 4	NA	C18904
circle	169 489 4	NA	C16638
circle	169 550 4	NA	C06481
circle	619 391 4	NA	C18870
circle	619 238 4	NA	C18872
circle	524 391 4	NA	C18871
circle	524 331 4	NA	C18893
circle	799 331 4	NA	C05686
circle	380 238 4	NA	C18905
circle	380 422 4	NA	C00041
rect	547 450 593 467	232223	Txnrd3
rect	547 450 593 467	26462	Txnrd2
rect	547 450 593 467	50493	Txnrd1
rect	305 450 351 467	109079	Sephs1
rect	305 450 351 467	20768	Sephs2
rect	95 167 141 184	212679	Mars2
rect	95 167 141 184	216443	Mars
rect	305 322 351 339	229905	Ccbl2
rect	305 322 351 339	70266	Ccbl1
rect	147 516 193 533	214580	Pstk
rect	102 460 148 477	211006	Sepsecs
rect	225 155 271 172	107869	Cth
rect	305 386 351 403	50880	Scly
rect	777 356 823 373	23971	Papss1
rect	777 356 823 373	23972	Papss2
rect	284 210 330 227	229905	Ccbl2
rect	284 210 330 227	70266	Ccbl1
rect	176 210 222 227	238505	Mtr
rect	449 167 495 184	232223	Txnrd3
rect	449 167 495 184	26462	Txnrd2
rect	449 167 495 184	50493	Txnrd1
rect	547 229 593 246	21743	Inmt
rect	234 210 280 227	107869	Cth
rect	40 45 292 70	NA	mmu00450
