shape	coords	gid	sym.path.compounds.map
circle	763 761 4	NA	G10505
circle	764 159 4	NA	G10505
rect	691 598 737 615	16772	Lama1
rect	691 598 737 615	16773	Lama2
rect	691 598 737 615	16774	Lama3
rect	691 598 737 615	16775	Lama4
rect	691 598 737 615	16776	Lama5
rect	691 598 737 615	16777	Lamb1
rect	691 598 737 615	16779	Lamb2
rect	691 598 737 615	16780	Lamb3
rect	691 598 737 615	16782	Lamc2
rect	691 598 737 615	226519	Lamc1
rect	691 598 737 615	23928	Lamc3
rect	734 363 780 380	16772	Lama1
rect	734 363 780 380	16773	Lama2
rect	734 363 780 380	16774	Lama3
rect	734 363 780 380	16775	Lama4
rect	734 363 780 380	16776	Lama5
rect	734 363 780 380	16777	Lamb1
rect	734 363 780 380	16779	Lamb2
rect	734 363 780 380	16780	Lamb3
rect	734 363 780 380	16782	Lamc2
rect	734 363 780 380	226519	Lamc1
rect	734 363 780 380	23928	Lamc3
rect	734 229 780 246	16772	Lama1
rect	734 229 780 246	16773	Lama2
rect	734 229 780 246	16774	Lama3
rect	734 229 780 246	16775	Lama4
rect	734 229 780 246	16776	Lama5
rect	734 229 780 246	16777	Lamb1
rect	734 229 780 246	16779	Lamb2
rect	734 229 780 246	16780	Lamb3
rect	734 229 780 246	16782	Lamc2
rect	734 229 780 246	226519	Lamc1
rect	734 229 780 246	23928	Lamc3
rect	461 745 507 762	16772	Lama1
rect	461 745 507 762	16773	Lama2
rect	461 745 507 762	16774	Lama3
rect	461 745 507 762	16775	Lama4
rect	461 745 507 762	16776	Lama5
rect	461 745 507 762	16777	Lamb1
rect	461 745 507 762	16779	Lamb2
rect	461 745 507 762	16780	Lamb3
rect	461 745 507 762	16782	Lamc2
rect	461 745 507 762	226519	Lamc1
rect	461 745 507 762	23928	Lamc3
rect	461 679 507 696	16772	Lama1
rect	461 679 507 696	16773	Lama2
rect	461 679 507 696	16774	Lama3
rect	461 679 507 696	16775	Lama4
rect	461 679 507 696	16776	Lama5
rect	461 679 507 696	16777	Lamb1
rect	461 679 507 696	16779	Lamb2
rect	461 679 507 696	16780	Lamb3
rect	461 679 507 696	16782	Lamc2
