shape	coords	gid	sym.path.compounds.map
circle	1080 312 4	NA	C01330
circle	478 504 4	NA	C01330
circle	453 509 4	NA	C00025
circle	1075 641 4	NA	C00037
circle	479 765 4	NA	C00062
circle	1104 771 4	NA	C00047
circle	1070 450 4	NA	C01330
circle	1071 460 4	NA	C00037
circle	779 642 4	NA	C00037
circle	769 699 4	NA	C00097
circle	456 639 4	NA	C00037
circle	478 631 4	NA	C01330
circle	480 379 4	NA	C00080
circle	597 515 4	NA	C00238
circle	562 311 4	NA	C01330
circle	689 320 4	NA	C00080
circle	1074 303 4	NA	C00238
circle	954 267 4	NA	C00238
circle	868 506 4	NA	C00049
circle	927 763 4	NA	C00064
circle	806 448 4	NA	C00037
circle	574 695 4	NA	C00148
circle	547 702 4	NA	C00080
circle	805 771 4	NA	C00062
circle	1075 574 4	NA	C01330
circle	951 583 4	NA	C00076
circle	140 749 4	NA	C00246
circle	211 749 4	NA	C00163
circle	275 749 4	NA	C00033
circle	142 811 4	NA	C02632
circle	188 790 4	NA	C08262
circle	236 809 4	NA	C18319
circle	272 790 4	NA	C05996
circle	336 750 4	NA	C00011
circle	336 771 4	NA	C00282
circle	336 792 4	NA	C01438
circle	336 813 4	NA	C00014
circle	336 834 4	NA	C00483
circle	336 855 4	NA	C00146
circle	336 895 4	NA	C00463
circle	1074 699 4	NA	C00079
circle	213 241 4	NA	C01327
circle	674 574 4	NA	C01330
circle	694 567 4	NA	C00041
circle	942 648 4	NA	C00037
circle	1057 776 4	NA	C01330
rect	511 502 557 519	20510	Slc1a1
rect	512 757 558 774	30962	Slc7a9
rect	984 635 1030 652	50934	Slc7a8
rect	984 447 1030 464	67760	Slc38a2
rect	984 761 1030 778	20540	Slc7a7
rect	510 374 556 391	56643	Slc15a1
rect	510 628 556 645	74338	Slc6a19
rect	598 561 644 578	20514	Slc1a5
rect	136 352 182 369	100040233	Gm10334
rect	136 352 182 369	103964	Try5
rect	136 352 182 369	22072	Prss2
rect	136 352 182 369	22074	Try4
rect	136 352 182 369	436522	Try10
rect	136 352 182 369	67373	2210010C04Rik
rect	136 352 182 369	73626	1810009J06Rik
rect	485 740 531 757	20532	Slc3a1
rect	984 299 1031 316	11928	Atp1a1
rect	984 299 1031 316	11931	Atp1b1
rect	984 299 1031 316	11932	Atp1b2
rect	984 299 1031 316	11933	Atp1b3
rect	984 299 1031 316	11936	Fxyd2
rect	984 299 1031 316	232975	Atp1a3
rect	984 299 1031 316	27222	Atp1a4
rect	984 299 1031 316	67821	Atp1b4
rect	984 299 1031 316	98660	Atp1a2
rect	984 744 1030 761	17254	Slc3a2
rect	984 618 1030 635	17254	Slc3a2
rect	191 352 237 369	66473	Ctrb1
rect	246 352 292 369	109660	Ctrl
rect	136 379 182 396	13706	Cela2a
rect	136 379 182 396	67868	Cela3b
rect	136 405 182 422	109697	Cpa1
rect	136 405 182 422	12873	Cpa3
rect	136 405 182 422	232680	Cpa2
rect	191 405 237 422	56373	Cpb2
rect	191 405 237 422	76703	Cpb1
rect	189 266 235 283	58803	Pga5
rect	596 307 642 324	105243	Slc9a3
rect	984 259 1030 276	100040591	Kcnj13
rect	984 259 1030 276	16529	Kcnk5
rect	984 259 1030 276	16534	Kcnn4
rect	984 259 1030 276	16535	Kcnq1
rect	984 259 1030 276	57442	Kcne3
rect	599 690 645 707	215335	Slc36a1
rect	984 570 1030 587	110891	Slc8a2
rect	984 570 1030 587	110893	Slc8a3
rect	984 570 1030 587	20541	Slc8a1
rect	597 437 643 454	13482	Dpp4
rect	597 437 643 454	170745	Xpnpep2
rect	597 437 643 454	17287	Mep1a
rect	597 437 643 454	17288	Mep1b
rect	597 437 643 454	17380	Mme
rect	597 437 643 454	70008	Ace2
rect	597 437 643 454	72461	Prcp
rect	111 582 157 599	13717	Eln
rect	111 606 157 623	12813	Col10a1
rect	111 606 157 623	12814	Col11a1
rect	111 606 157 623	12815	Col11a2
rect	111 606 157 623	12816	Col12a1
rect	111 606 157 623	12817	Col13a1
rect	111 606 157 623	12818	Col14a1
rect	111 606 157 623	12819	Col15a1
rect	111 606 157 623	12821	Col17a1
rect	111 606 157 623	12822	Col18a1
rect	111 606 157 623	12824	Col2a1
rect	111 606 157 623	12825	Col3a1
rect	111 606 157 623	12826	Col4a1
rect	111 606 157 623	12827	Col4a2
rect	111 606 157 623	12828	Col4a3
rect	111 606 157 623	12829	Col4a4
rect	111 606 157 623	12830	Col4a5
rect	111 606 157 623	12831	Col5a1
rect	111 606 157 623	12832	Col5a2
rect	111 606 157 623	12833	Col6a1
rect	111 606 157 623	12834	Col6a2
rect	111 606 157 623	12835	Col6a3
rect	111 606 157 623	12836	Col7a1
rect	111 606 157 623	12839	Col9a1
rect	111 606 157 623	12840	Col9a2
rect	111 606 157 623	12841	Col9a3
rect	111 606 157 623	12842	Col1a1
rect	111 606 157 623	12843	Col1a2
rect	111 606 157 623	245026	Col6a6
rect	111 606 157 623	373864	Col27a1
rect	111 606 157 623	53867	Col5a3
rect	111 606 157 623	665033	Col6a5
rect	111 606 157 623	68553	Col6a4
rect	111 606 157 623	69700	Col22a1
rect	111 606 157 623	71355	Col24a1
rect	111 606 157 623	94216	Col4a6
rect	984 690 1030 707	72472	Slc16a10
rect	40 45 350 70	NA	mmu04974
rect	624 100 739 125	NA	mmu04530
rect	155 300 279 325	NA	mmu04972
rect	156 192 280 217	NA	mmu04971
rect	267 652 393 677	NA	ko00350
rect	42 662 168 696	NA	ko00280
rect	267 682 393 707	NA	ko00380
rect	853 523 979 557	NA	mmu00250
