shape	coords	gid	sym.path.compounds.map
circle	212 131 4	NA	C01382
circle	260 131 4	NA	D00636
circle	1201 572 4	NA	C02465
circle	1201 606 4	NA	C01829
rect	402 625 448 642	100504404	H2-Ea-ps
rect	402 625 448 642	14960	H2-Aa
rect	402 625 448 642	14961	H2-Ab1
rect	402 625 448 642	14969	H2-Eb1
rect	402 625 448 642	14998	H2-DMa
rect	402 625 448 642	14999	H2-DMb1
rect	402 625 448 642	15000	H2-DMb2
rect	402 625 448 642	15001	H2-Oa
rect	402 625 448 642	15002	H2-Ob
rect	702 625 748 642	21947	Cd40lg
rect	785 625 831 642	21939	Cd40
rect	785 648 831 665	100504404	H2-Ea-ps
rect	785 648 831 665	14960	H2-Aa
rect	785 648 831 665	14961	H2-Ab1
rect	785 648 831 665	14969	H2-Eb1
rect	785 648 831 665	14998	H2-DMa
rect	785 648 831 665	14999	H2-DMb1
rect	785 648 831 665	15000	H2-DMb2
rect	785 648 831 665	15001	H2-Oa
rect	785 648 831 665	15002	H2-Ob
rect	826 594 872 611	102642252	LOC102642252
rect	826 594 872 611	105243590	LOC105243590
rect	217 402 263 419	22018	Tpo
rect	217 430 263 447	21819	Tg
rect	217 492 263 509	22095	Tshr
rect	402 258 448 275	100504404	H2-Ea-ps
rect	402 258 448 275	14960	H2-Aa
rect	402 258 448 275	14961	H2-Ab1
rect	402 258 448 275	14969	H2-Eb1
rect	402 258 448 275	14998	H2-DMa
rect	402 258 448 275	14999	H2-DMb1
rect	402 258 448 275	15000	H2-DMb2
rect	402 258 448 275	15001	H2-Oa
rect	402 258 448 275	15002	H2-Ob
rect	701 332 747 349	21947	Cd40lg
rect	785 332 831 349	21939	Cd40
rect	785 357 831 374	100504404	H2-Ea-ps
rect	785 357 831 374	14960	H2-Aa
rect	785 357 831 374	14961	H2-Ab1
rect	785 357 831 374	14969	H2-Eb1
rect	785 357 831 374	14998	H2-DMa
rect	785 357 831 374	14999	H2-DMb1
rect	785 357 831 374	15000	H2-DMb2
rect	785 357 831 374	15001	H2-Oa
rect	785 357 831 374	15002	H2-Ob
rect	826 387 872 404	102642252	LOC102642252
rect	826 387 872 404	105243590	LOC105243590
rect	1011 584 1057 601	22095	Tshr
rect	1008 682 1054 699	22095	Tshr
rect	1006 196 1052 213	14102	Fas
rect	939 678 985 695	102642252	LOC102642252
rect	939 678 985 695	105243590	LOC105243590
rect	929 196 975 213	14103	Fasl
rect	1006 168 1052 185	100529082	Gm11127
rect	1006 168 1052 185	100862431	LOC100862431
rect	1006 168 1052 185	101056305	LOC101056305
rect	1006 168 1052 185	102641613	LOC102641613
rect	1006 168 1052 185	102641657	LOC102641657
rect	1006 168 1052 185	102642035	LOC102642035
rect	1006 168 1052 185	102642086	LOC102642086
rect	1006 168 1052 185	105242487	LOC105242487
rect	1006 168 1052 185	110557	H2-Q6
rect	1006 168 1052 185	110558	H2-Q9
rect	1006 168 1052 185	110696	H2-M10.3
rect	1006 168 1052 185	14963	H2-Bl
rect	1006 168 1052 185	14964	H2-D1
rect	1006 168 1052 185	14972	H2-K1
rect	1006 168 1052 185	14980	H2-L
rect	1006 168 1052 185	14985	H2-M10.1
rect	1006 168 1052 185	14990	H2-M2
rect	1006 168 1052 185	14991	H2-M3
rect	1006 168 1052 185	14997	H2-M9
rect	1006 168 1052 185	15006	H2-Q1
rect	1006 168 1052 185	15007	H2-Q10
rect	1006 168 1052 185	15013	H2-Q2
rect	1006 168 1052 185	15015	H2-Q4
rect	1006 168 1052 185	15018	H2-Q7
rect	1006 168 1052 185	15019	H2-Q8
rect	1006 168 1052 185	15024	H2-T10
rect	1006 168 1052 185	15033	H2-T18
rect	1006 168 1052 185	15039	H2-T22
rect	1006 168 1052 185	15040	H2-T23
rect	1006 168 1052 185	15042	H2-T24
rect	1006 168 1052 185	15043	H2-T3
rect	1006 168 1052 185	15051	H2-T9
rect	1006 168 1052 185	224753	H2-M10.4
rect	1006 168 1052 185	224754	H2-M11
rect	1006 168 1052 185	224756	H2-M1
rect	1006 168 1052 185	224761	H2-M10.5
rect	1006 168 1052 185	240095	H2-M5
rect	1006 168 1052 185	333715	H2-M10.2
rect	1006 168 1052 185	399549	H2-M10.6
rect	1006 168 1052 185	547349	LOC547349
rect	1006 168 1052 185	630294	Gm7030
rect	1006 168 1052 185	667803	H2-T-ps
rect	1006 168 1052 185	667977	Gm8909
rect	1006 168 1052 185	69717	Gm10499
rect	969 259 1015 276	14939	Gzmb
rect	969 234 1015 251	18646	Prf1
rect	939 712 985 729	12640	Cga
rect	939 712 985 729	22094	Tshb
rect	955 328 1001 345	102642252	LOC102642252
rect	955 328 1001 345	105243590	LOC105243590
rect	939 584 985 601	102642252	LOC102642252
rect	939 584 985 601	105243590	LOC105243590
rect	253 179 299 196	12477	Ctla4
rect	747 254 793 271	16189	Il4
rect	747 276 793 293	16191	Il5
rect	747 693 793 710	16189	Il4
rect	747 720 793 737	16191	Il5
rect	767 187 813 204	16183	Il2
rect	306 126 352 143	15962	Ifna1
rect	306 126 352 143	15964	Ifna11
rect	306 126 352 143	15965	Ifna2
rect	306 126 352 143	15967	Ifna4
rect	306 126 352 143	15968	Ifna5
rect	306 126 352 143	15969	Ifna6
rect	306 126 352 143	15970	Ifna7
rect	306 126 352 143	15972	Ifna9
rect	306 126 352 143	15974	Ifnab
rect	306 126 352 143	230396	Ifna13
rect	306 126 352 143	242517	Ifna15
rect	306 126 352 143	242519	Ifna12
rect	306 126 352 143	404549	Ifna14
rect	402 280 448 297	12519	Cd80
rect	402 280 448 297	12524	Cd86
rect	482 281 528 298	12487	Cd28
rect	402 648 448 665	12524	Cd86
rect	483 648 529 665	12487	Cd28
rect	747 744 793 761	16153	Il10
rect	747 299 793 316	16153	Il10
rect	495 369 608 403	NA	mmu04660
rect	344 369 456 403	NA	mmu04612
rect	414 529 527 563	NA	mmu04514
rect	789 483 901 517	NA	mmu04662
rect	40 45 297 70	NA	mmu05320
rect	1161 259 1267 284	NA	mmu04210
rect	922 403 1034 437	NA	mmu04610
rect	1025 511 1137 545	NA	mmu04918
