shape	coords	gid	sym.path.compounds.map
circle	982 679 4	NA	G00078
circle	431 482 4	NA	G00057
circle	562 891 4	NA	G00090
circle	485 820 4	NA	G00091
circle	562 820 4	NA	G00089
circle	939 482 4	NA	G00088
circle	939 553 4	NA	G00087
circle	368 962 4	NA	G00086
circle	828 607 4	NA	G00067
circle	368 891 4	NA	G00085
circle	368 820 4	NA	G00084
circle	368 749 4	NA	G00069
circle	694 181 4	NA	G00064
circle	694 257 4	NA	G00062
circle	825 257 4	NA	G00063
circle	825 333 4	NA	G00066
circle	694 299 4	NA	G00061
circle	431 335 4	NA	G00060
circle	939 749 4	NA	G00083
circle	1057 749 4	NA	G00080
circle	618 891 4	NA	G00075
circle	694 891 4	NA	G00074
circle	694 820 4	NA	G00073
circle	694 749 4	NA	G00072
circle	828 749 4	NA	G00071
circle	828 891 4	NA	G00082
circle	828 820 4	NA	G00081
circle	982 749 4	NA	G00079
circle	368 121 4	NA	G00092
circle	982 607 4	NA	G00077
circle	368 607 4	NA	G00068
circle	694 553 4	NA	G00076
circle	562 482 4	NA	G00056
circle	562 411 4	NA	G00055
circle	694 411 4	NA	G00052
circle	694 340 4	NA	G00051
circle	562 335 4	NA	G00050
circle	368 192 4	NA	G00036
circle	431 411 4	NA	G00054
circle	355 553 4	NA	G00059
circle	431 553 4	NA	G00058
circle	179 335 4	NA	G00037
circle	310 335 4	NA	G00038
circle	310 411 4	NA	G00039
circle	179 411 4	NA	G00044
circle	310 482 4	NA	G00040
circle	179 482 4	NA	G00045
circle	47 411 4	NA	G00042
circle	47 482 4	NA	G00043
circle	47 335 4	NA	G00046
circle	310 257 4	NA	G00047
circle	431 257 4	NA	G00048
rect	477 609 523 626	10331	B3GNT3
rect	760 534 806 551	10690	FUT9
rect	370 905 416 922	10690	FUT9
rect	370 834 416 851	10690	FUT9
rect	830 834 876 851	10690	FUT9
rect	540 853 586 870	2526	FUT4
rect	514 834 560 851	2525	FUT3
rect	514 834 560 851	2527	FUT5
rect	514 834 560 851	2528	FUT6
rect	320 834 366 851	2525	FUT3
rect	320 834 366 851	2527	FUT5
rect	320 834 366 851	2528	FUT6
rect	320 905 366 922	2525	FUT3
rect	320 905 366 922	2527	FUT5
rect	320 905 366 922	2528	FUT6
rect	712 534 758 551	2525	FUT3
rect	712 534 758 551	2527	FUT5
rect	712 534 758 551	2528	FUT6
rect	780 834 826 851	2525	FUT3
rect	780 834 826 851	2527	FUT5
rect	780 834 826 851	2528	FUT6
rect	827 402 873 419	8702	B4GALT4
rect	777 402 823 419	8703	B4GALT3
rect	500 194 546 211	8702	B4GALT4
rect	452 194 498 211	8703	B4GALT3
rect	500 173 546 190	8704	B4GALT2
rect	739 334 785 351	10331	B3GNT3
rect	739 334 785 351	79369	B3GNT4
rect	346 782 392 799	2526	FUT4
rect	540 782 586 799	2526	FUT4
rect	806 782 852 799	2526	FUT4
rect	540 445 586 462	2526	FUT4
rect	739 259 785 276	2526	FUT4
rect	739 259 785 276	2529	FUT7
rect	477 337 523 354	2526	FUT4
rect	514 763 560 780	2525	FUT3
rect	514 763 560 780	2527	FUT5
rect	514 763 560 780	2528	FUT6
rect	320 763 366 780	2525	FUT3
rect	320 763 366 780	2527	FUT5
rect	320 763 366 780	2528	FUT6
rect	780 763 826 780	2525	FUT3
rect	780 763 826 780	2527	FUT5
rect	780 763 826 780	2528	FUT6
rect	514 426 560 443	2525	FUT3
rect	514 426 560 443	2527	FUT5
rect	514 426 560 443	2528	FUT6
rect	452 316 498 333	2525	FUT3
rect	452 316 498 333	2527	FUT5
rect	452 316 498 333	2528	FUT6
rect	564 834 610 851	10690	FUT9
rect	990 740 1036 757	28	ABO
rect	639 881 685 898	28	ABO
rect	959 703 1005 720	2523	FUT1
rect	959 703 1005 720	2524	FUT2
rect	564 763 610 780	10690	FUT9
rect	346 853 392 870	2526	FUT4
rect	370 763 416 780	10690	FUT9
rect	739 555 785 572	2526	FUT4
rect	861 474 907 491	10402	ST3GAL6
rect	346 924 392 941	2526	FUT4
rect	806 853 852 870	2526	FUT4
rect	739 740 785 757	28	ABO
rect	671 842 717 859	2523	FUT1
rect	671 842 717 859	2524	FUT2
rect	477 588 523 605	10678	B3GNT2
rect	477 588 523 605	11041	B4GAT1
rect	861 740 907 757	28	ABO
rect	861 598 907 615	2651	GCNT2
rect	830 763 876 780	10690	FUT9
rect	670 211 716 228	6489	ST8SIA1
rect	739 238 785 255	2525	FUT3
rect	739 238 785 255	2527	FUT5
rect	739 238 785 255	2528	FUT6
rect	600 249 646 266	10402	ST3GAL6
rect	500 316 546 333	10690	FUT9
rect	708 313 754 330	10678	B3GNT2
rect	708 313 754 330	11041	B4GAT1
rect	801 383 847 400	2683	B4GALT1
rect	600 402 646 419	28	ABO
rect	540 367 586 384	2523	FUT1
rect	540 367 586 384	2524	FUT2
rect	671 367 717 384	2523	FUT1
rect	671 367 717 384	2524	FUT2
rect	346 144 392 161	84002	B3GNT5
rect	564 426 610 443	10690	FUT9
rect	477 402 523 419	28	ABO
rect	806 703 852 720	2523	FUT1
rect	806 703 852 720	2524	FUT2
rect	375 544 421 561	28	ABO
rect	452 173 498 190	2683	B4GALT1
rect	409 503 455 520	2523	FUT1
rect	409 503 455 520	2524	FUT2
rect	199 173 245 190	8708	B3GALT1
rect	247 173 293 190	8707	B3GALT2
rect	224 194 270 211	10317	B3GALT5
rect	157 367 203 384	2523	FUT1
rect	157 367 203 384	2524	FUT2
rect	287 367 333 384	2523	FUT1
rect	287 367 333 384	2524	FUT2
rect	224 402 270 419	28	ABO
rect	157 436 203 453	2525	FUT3
rect	287 436 333 453	2525	FUT3
rect	89 402 135 419	28	ABO
rect	24 436 70 453	2525	FUT3
rect	89 324 135 341	2525	FUT3
rect	224 238 270 255	6487	ST3GAL3
rect	224 259 270 276	6484	ST3GAL4
rect	346 249 392 266	2525	FUT3
poly	253 1116 293 1116 293 1120 253 1120	28	ABO
poly	262 1074 292 1104 296 1104 266 1074	6484	ST3GAL4
poly	262 1074 292 1104 296 1104 266 1074	6487	ST3GAL3
poly	261 1160 291 1130 295 1130 265 1160	28	ABO
poly	309 1102 309 1072 313 1072 313 1102	2525	FUT3
poly	308 1133 308 1163 312 1163 312 1133	2523	FUT1
poly	308 1133 308 1163 312 1163 312 1133	2524	FUT2
poly	333 1116 363 1116 363 1120 333 1120	10317	B3GALT5
poly	333 1116 363 1116 363 1120 333 1120	8707	B3GALT2
poly	333 1116 363 1116 363 1120 333 1120	8708	B3GALT1
poly	386 1102 386 1072 390 1072 390 1102	2525	FUT3
poly	421 1116 451 1116 451 1120 421 1120	84002	B3GNT5
poly	478 1395 518 1395 518 1399 478 1399	28	ABO
poly	487 1353 517 1383 521 1383 491 1353	10331	B3GNT3
poly	487 1353 517 1383 521 1383 491 1353	10678	B3GNT2
poly	487 1353 517 1383 521 1383 491 1353	11041	B4GAT1
poly	487 1353 517 1383 521 1383 491 1353	79369	B3GNT4
poly	486 1439 516 1409 520 1409 490 1439	10402	ST3GAL6
poly	534 1380 534 1340 538 1340 538 1380	2651	GCNT2
poly	540 1412 540 1452 544 1452 544 1412	2523	FUT1
poly	540 1412 540 1452 544 1452 544 1412	2524	FUT2
poly	558 1395 588 1395 588 1399 558 1399	2683	B4GALT1
poly	558 1395 588 1395 588 1399 558 1399	8702	B4GALT4
