shape	coords	gid	sym.path.compounds.map
rect	57 257 103 274	9879	DDX46
rect	57 277 103 294	7919	DDX39B
rect	675 150 721 167	6625	SNRNP70
rect	675 167 721 184	6626	SNRPA
rect	675 184 721 201	6631	SNRPC
rect	410 521 456 538	8449	DHX16
rect	526 378 572 395	9785	DHX38
rect	526 398 572 415	51362	CDC40
rect	675 222 721 239	25766	PRPF40B
rect	675 222 721 239	55660	PRPF40A
rect	675 242 721 259	58517	RBM25
rect	517 260 563 277	1659	DHX8
rect	446 155 492 172	1665	DHX15
rect	675 133 721 150	6628	SNRPB
rect	675 133 721 150	6632	SNRPD1
rect	675 133 721 150	6633	SNRPD2
rect	675 133 721 150	6634	SNRPD3
rect	675 133 721 150	6635	SNRPE
rect	675 133 721 150	6636	SNRPF
rect	675 133 721 150	6637	SNRPG
rect	675 262 721 279	1655	DDX5
rect	675 282 721 299	10915	TCERG1
rect	740 133 786 150	6628	SNRPB
rect	740 133 786 150	6632	SNRPD1
rect	740 133 786 150	6633	SNRPD2
rect	740 133 786 150	6634	SNRPD3
rect	740 133 786 150	6635	SNRPE
rect	740 133 786 150	6636	SNRPF
rect	740 133 786 150	6637	SNRPG
rect	740 150 786 167	6627	SNRPA1
rect	740 167 786 184	6629	SNRPB2
rect	740 183 786 200	10291	SF3A1
rect	740 183 786 200	10946	SF3A3
rect	740 183 786 200	8175	SF3A2
rect	740 200 786 217	10262	SF3B4
rect	740 200 786 217	10992	SF3B2
rect	740 200 786 217	11325	DDX42
rect	740 200 786 217	23450	SF3B3
rect	740 200 786 217	23451	SF3B1
rect	740 200 786 217	51639	SF3B6
rect	740 200 786 217	83443	SF3B5
rect	740 200 786 217	84844	PHF5A
rect	740 242 786 259	102724594	U2AF1L5
rect	740 242 786 259	11338	U2AF2
rect	740 242 786 259	199746	U2AF1L4
rect	740 242 786 259	7307	U2AF1
rect	740 262 786 279	22827	PUF60
rect	740 282 786 299	10285	SMNDC1
rect	740 302 786 319	84991	RBM17
rect	740 322 786 339	10523	CHERP
rect	740 342 786 359	23350	U2SURP
rect	740 362 786 379	1665	DHX15
rect	870 473 916 490	22916	NCBP2
rect	870 473 916 490	4686	NCBP1
rect	870 493 916 510	139804	RBMXL3
rect	870 493 916 510	144983	HNRNPA1L2
rect	870 493 916 510	220988	HNRNPA3
rect	870 493 916 510	27288	RBMXL2
rect	870 493 916 510	27316	RBMX
rect	870 493 916 510	3178	HNRNPA1
rect	870 493 916 510	3183	HNRNPC
rect	870 493 916 510	3190	HNRNPK
rect	870 493 916 510	3192	HNRNPU
rect	870 493 916 510	4670	HNRNPM
rect	870 493 916 510	494115	RBMXL1
rect	870 493 916 510	5093	PCBP1
rect	870 513 916 530	10772	SRSF10
rect	870 513 916 530	10929	SRSF8
rect	870 513 916 530	29896	TRA2A
rect	870 513 916 530	6426	SRSF1
rect	870 513 916 530	6427	SRSF2
rect	870 513 916 530	6428	SRSF3
rect	870 513 916 530	6429	SRSF4
rect	870 513 916 530	6430	SRSF5
rect	870 513 916 530	6431	SRSF6
rect	870 513 916 530	6432	SRSF7
rect	870 513 916 530	6434	TRA2B
rect	870 513 916 530	8683	SRSF9
rect	675 473 721 490	27339	PRPF19
rect	675 490 721 507	988	CDC5L
rect	675 507 721 524	10286	BCAS2
rect	675 524 721 541	5356	PLRG1
rect	675 541 721 558	51503	CWC15
rect	675 558 721 575	56259	CTNNBL1
rect	675 575 721 592	3303	HSPA1A
rect	675 575 721 592	3304	HSPA1B
rect	675 575 721 592	3305	HSPA1L
rect	675 575 721 592	3306	HSPA2
rect	675 575 721 592	3310	HSPA6
rect	675 575 721 592	3312	HSPA8
rect	675 599 721 616	10084	PQBP1
rect	740 493 786 510	25949	SYF2
rect	740 493 786 510	51340	CRNKL1
rect	740 493 786 510	56949	XAB2
rect	675 616 721 633	51729	WBP11
rect	740 473 786 490	22938	SNW1
rect	740 513 786 530	100534599	ISY1-RAB43
rect	740 513 786 530	57461	ISY1
rect	740 533 786 550	51645	PPIL1
rect	740 553 786 570	10450	PPIE
rect	740 573 786 590	151903	CCDC12
rect	740 593 786 610	55696	RBM22
rect	740 633 786 650	9716	AQR
rect	805 150 851 167	11157	LSM6
rect	805 150 851 167	23658	LSM5
rect	805 150 851 167	25804	LSM4
rect	805 150 851 167	27258	LSM3
rect	805 150 851 167	51690	LSM7
rect	805 150 851 167	51691	LSM8
rect	805 150 851 167	57819	LSM2
rect	805 167 851 184	6628	SNRPB
rect	805 167 851 184	6632	SNRPD1
rect	805 167 851 184	6633	SNRPD2
rect	805 167 851 184	6634	SNRPD3
rect	805 167 851 184	6635	SNRPE
rect	805 167 851 184	6636	SNRPF
rect	805 167 851 184	6637	SNRPG
rect	805 234 851 251	26121	PRPF31
rect	805 218 851 235	10465	PPIH
rect	805 201 851 218	9128	PRPF4
rect	805 184 851 201	9129	PRPF3
rect	805 251 851 268	4809	SNU13
rect	870 133 916 150	6628	SNRPB
rect	870 133 916 150	6632	SNRPD1
rect	870 133 916 150	6633	SNRPD2
rect	870 133 916 150	6634	SNRPD3
rect	870 133 916 150	6635	SNRPE
rect	870 133 916 150	6636	SNRPF
rect	870 133 916 150	6637	SNRPG
rect	870 150 916 167	9343	EFTUD2
rect	870 167 916 184	23020	SNRNP200
rect	870 184 916 201	24148	PRPF6
rect	870 201 916 218	10594	PRPF8
rect	870 218 916 235	9410	SNRNP40
rect	870 235 916 252	9416	DDX23
rect	870 252 916 269	10907	TXNL4A
rect	805 310 851 327	11017	SNRNP27
rect	805 327 851 344	10713	USP39
rect	805 344 851 361	9092	SART1
rect	805 473 851 490	22985	ACIN1
rect	805 490 851 507	9775	EIF4A3
rect	805 507 851 524	9939	RBM8A
rect	805 524 851 541	4116	MAGOH
rect	805 524 851 541	55110	MAGOHB
rect	805 541 851 558	7919	DDX39B
rect	805 558 851 575	10189	ALYREF
rect	805 558 851 575	57187	THOC2
rect	805 558 851 575	84321	THOC3
rect	805 558 851 575	9984	THOC1
rect	575 378 621 395	1659	DHX8
rect	575 398 621 415	10569	SLU7
rect	805 370 851 387	153527	ZMAT2
rect	805 390 851 407	55119	PRPF38B
rect	805 390 851 407	84950	PRPF38A
rect	526 418 572 435	8559	PRPF18
rect	740 613 786 630	8896	BUD31
rect	805 127 851 144	26827	RNU6-1
