shape	coords	gid	sym.path.compounds.map
circle	898 285 4	NA	C00118
circle	853 307 4	NA	C00199
circle	756 526 4	NA	C07335
circle	70 136 4	NA	C00232
circle	70 212 4	NA	C01215
circle	170 212 4	NA	C01270
circle	270 212 4	NA	C04604
circle	370 212 4	NA	C06050
circle	470 159 4	NA	C00971
circle	598 212 4	NA	C00250
circle	598 76 4	NA	C00534
circle	756 76 4	NA	C00647
circle	756 212 4	NA	C00018
circle	756 348 4	NA	C00627
circle	457 348 4	NA	C00266
circle	598 348 4	NA	C00314
circle	386 432 4	NA	C04773
circle	251 432 4	NA	C04690
circle	421 526 4	NA	C03393
circle	309 526 4	NA	C00279
circle	598 432 4	NA	C06051
circle	494 432 4	NA	C06052
circle	126 432 4	NA	C04106
circle	533 526 4	NA	C06054
circle	646 526 4	NA	C06055
circle	470 212 4	NA	C00847
circle	756 438 4	NA	C11638
circle	646 458 4	NA	C06056
rect	518 193 564 210	316	AOX1
rect	600 127 646 144	55163	PNPO
rect	734 127 780 144	55163	PNPO
rect	659 77 705 94	493911	PHOSPHO2
rect	659 77 705 94	57026	PDXP
rect	659 58 705 75	8566	PDXK
rect	659 349 705 366	493911	PHOSPHO2
rect	659 349 705 366	57026	PDXP
rect	659 330 705 347	8566	PDXK
rect	659 213 705 230	493911	PHOSPHO2
rect	659 213 705 230	57026	PDXP
rect	659 194 705 211	8566	PDXK
rect	569 518 615 535	29968	PSAT1
rect	734 282 780 299	55163	PNPO
rect	600 282 646 299	55163	PNPO
rect	862 323 936 348	NA	hsa00010
rect	800 360 952 385	NA	hsa00030
rect	40 45 243 70	NA	hsa00750
rect	126 509 242 543	NA	hsa00030
rect	241 331 382 365	NA	hsa00630
rect	159 124 285 149	NA	hsa00650
