shape	coords	gid	sym.path.compounds.map
circle	777 504 4	NA	C19889
circle	685 504 4	NA	C19888
circle	593 504 4	NA	C19887
circle	501 504 4	NA	C19886
circle	159 187 4	NA	C00049
circle	262 187 4	NA	C03082
circle	365 113 4	NA	C00263
circle	365 187 4	NA	C00441
circle	572 187 4	NA	C03972
circle	717 120 4	NA	C05539
circle	854 120 4	NA	C04390
circle	674 187 4	NA	C04462
circle	777 187 4	NA	C04421
circle	777 252 4	NA	C00666
circle	777 323 4	NA	C00680
circle	572 323 4	NA	C03871
circle	918 323 4	NA	C04877
circle	777 433 4	NA	C00047
circle	685 433 4	NA	C00449
circle	593 433 4	NA	C04076
circle	501 433 4	NA	C05535
circle	409 433 4	NA	C05560
circle	409 504 4	NA	C00956
circle	307 504 4	NA	C00322
circle	307 433 4	NA	C05662
circle	307 362 4	NA	C04002
circle	215 362 4	NA	C01251
circle	135 385 4	NA	C00024
circle	123 362 4	NA	C00026
circle	1059 323 4	NA	C04882
circle	951 519 4	NA	C20278
circle	857 492 4	NA	C20277
circle	1055 519 4	NA	C20279
circle	1121 519 4	NA	C16138
circle	468 187 4	NA	C20258
rect	522 424 568 441	501	ALDH7A1
rect	387 461 433 478	501	ALDH7A1
rect	334 485 380 502	51166	AADAT
rect	431 424 477 441	501	ALDH7A1
rect	917 416 1079 450	NA	map00960
rect	1109 306 1197 340	NA	map00550
rect	422 97 545 131	NA	hsa00260
rect	86 303 162 328	NA	hsa00020
rect	107 223 235 257	NA	hsa00250
rect	40 45 217 70	NA	hsa00300
rect	171 456 248 490	NA	hsa00620
rect	101 427 171 452	NA	hsa00010
rect	917 373 992 407	NA	hsa00310
