shape	coords	gid	sym.path.compounds.map
circle	713 174 4	NA	C00058
circle	640 119 4	NA	C00488
circle	640 276 4	NA	C00014
circle	499 356 4	NA	C00192
circle	332 402 4	NA	C06058
circle	550 185 4	NA	C00697
circle	441 185 4	NA	C00887
circle	332 185 4	NA	C00533
circle	332 276 4	NA	C00088
circle	168 276 4	NA	C00244
circle	640 402 4	NA	C00726
circle	858 229 4	NA	C01417
circle	746 229 4	NA	C01563
circle	845 202 4	NA	C00288
circle	704 202 4	NA	C00011
circle	858 276 4	NA	C00169
circle	50 276 4	NA	C00244
circle	50 318 4	NA	C00088
circle	739 351 4	NA	C00064
circle	890 351 4	NA	C00025
circle	166 515 4	NA	C00244
circle	278 515 4	NA	C00088
circle	950 515 4	NA	C00014
circle	166 582 4	NA	C00244
circle	278 582 4	NA	C00088
circle	166 649 4	NA	C00244
circle	278 649 4	NA	C00088
circle	614 649 4	NA	C00697
circle	502 649 4	NA	C00887
circle	390 649 4	NA	C00533
circle	614 713 4	NA	C00697
circle	950 713 4	NA	C00014
circle	950 776 4	NA	C00014
circle	278 776 4	NA	C00088
circle	166 776 4	NA	C00244
circle	950 582 4	NA	C00014
circle	726 776 4	NA	C00192
circle	950 837 4	NA	C00014
circle	614 837 4	NA	C00697
circle	278 875 4	NA	C00088
circle	838 837 4	NA	C05361
circle	390 875 4	NA	C00533
rect	751 194 797 211	11238	CA5B
rect	751 194 797 211	23632	CA14
rect	751 194 797 211	377677	CA13
rect	751 194 797 211	759	CA1
rect	751 194 797 211	760	CA2
rect	751 194 797 211	761	CA3
rect	751 194 797 211	762	CA4
rect	751 194 797 211	763	CA5A
rect	751 194 797 211	765	CA6
rect	751 194 797 211	766	CA7
rect	751 194 797 211	767	CA8
rect	751 194 797 211	768	CA9
rect	751 194 797 211	771	CA12
rect	724 268 770 285	1373	CPS1
rect	665 343 711 360	2752	GLUL
rect	690 320 736 337	2746	GLUD1
rect	690 320 736 337	2747	GLUD2
rect	171 178 309 212	NA	map00720
rect	589 48 693 82	NA	hsa00460
rect	40 45 232 70	NA	hsa00910
rect	793 127 912 152	NA	map00680
rect	793 160 924 185	NA	hsa00630
rect	911 264 1036 289	NA	hsa00220
rect	946 334 1023 368	NA	hsa00250
