gid	sym
100040608	Fancf
101831	Faap24
104806	Fancm
114714	Rad51c
12144	Blm
12189	Brca1
12190	Brca2
13870	Ercc1
14087	Fanca
14088	Fancc
15205	Hes1
17350	Mlh1
18861	Pms2
19361	Rad51
193838	Eme2
19714	Rev3l
19891	Rpa2
208836	Fanci
20892	Stra13
211651	Fancd2
21975	Top3a
21976	Top3b
223970	Rmi2
230484	Usp1
233826	Palb2
235610	Atrip
237211	Fancb
237911	Brip1
245000	Atr
26447	Poli
268465	Eme1
27015	Polk
272158	Poln
330554	Fan1
50505	Ercc4
52864	Slx4
56210	Rev1
60534	Fancg
67030	Fancl
67196	Ube2t
67561	Wdr48
68240	Rpa3
68275	Rpa1
69928	Apitd1
71711	Mus81
71718	Telo2
71885	Faap100
72775	Fance
74386	Rmi1
75764	Slx1b
80905	Polh
