gid	sym
100039053	Gm2023
100039863	Gm13306
100039939	Gm2506
100040048	Ccl27b
100041504	LOC100041504
100041579	Gm20878
100041593	LOC100041593
100042493	Ccl21b
100043507	Gm15776
100503710	Gm5741
100504239	Gm10591
100504346	Gm13304
100504362	Gm1987
100861978	LOC100861978
100862177	Gm21541
100862247	Gm21586
102641276	LOC102641276
104110	Adcy4
104111	Adcy3
105242482	LOC105242482
109689	Arrb1
109880	Braf
109905	Rap1a
110157	Raf1
110355	Adrbk1
11512	Adcy6
11513	Adcy7
11514	Adcy8
11515	Adcy9
11651	Akt1
11652	Akt2
11848	Rhoa
12145	Cxcr5
12458	Ccr6
12540	Cdc42
12675	Chuk
12765	Cxcr2
12766	Cxcr3
12767	Cxcr4
12768	Ccr1
12769	Ccr9
12770	Ccr1l1
12771	Ccr3
12772	Ccr2
12773	Ccr4
12774	Ccr5
12775	Ccr7
12776	Ccr8
12777	Ccr10
12927	Bcar1
12928	Crk
12929	Crkl
13051	Cx3cr1
140580	Elmo1
14083	Ptk2
14191	Fgr
14677	Gnai1
14678	Gnai2
14679	Gnai3
14688	Gnb1
14693	Gnb2
14695	Gnb3
14696	Gnb4
14697	Gnb5
14699	Gngt1
14700	Gng10
14701	Gng12
14702	Gng2
14704	Gng3
14706	Gng4
14707	Gng5
14708	Gng7
14709	Gng8
14710	Gngt2
14772	Grk4
14773	Grk5
14784	Grb2
14825	Cxcl1
15162	Hck
15461	Hras
15945	Cxcl10
16150	Ikbkb
16151	Ikbkg
16428	Itk
16452	Jak2
16453	Jak3
16653	Kras
16963	Xcl1
17096	Lyn
17329	Cxcl9
17969	Ncf1
18033	Nfkb1
18035	Nfkbia
18036	Nfkbib
18176	Nras
18479	Pak1
18706	Pik3ca
18707	Pik3cd
18708	Pik3r1
18709	Pik3r2
18710	Pik3r3
18747	Prkaca
18749	Prkacb
18751	Prkcb
18753	Prkcd
18762	Prkcz
18795	Plcb1
18796	Plcb2
18797	Plcb3
18798	Plcb4
18829	Ccl21a
19229	Ptk2b
19303	Pxn
19353	Rac1
19354	Rac2
19395	Rasgrp2
19697	Rela
19877	Rock1
19878	Rock2
20290	Ccl1
20292	Ccl11
20293	Ccl12
20295	Ccl17
20296	Ccl2
20297	Ccl20
20299	Ccl22
20300	Ccl25
20301	Ccl27a
20302	Ccl3
20303	Ccl4
20304	Ccl5
20305	Ccl6
20306	Ccl7
20307	Ccl8
20308	Ccl9
20309	Cxcl15
20310	Cxcl2
20311	Cxcl5
20312	Cx3cl1
20315	Cxcl12
20416	Shc1
20418	Shc3
20662	Sos1
20663	Sos2
20779	Src
20846	Stat1
20847	Stat2
20848	Stat3
20851	Stat5b
210044	Adcy2
215449	Rap1b
216148	Shc2
216869	Arrb2
21844	Tiam1
22324	Vav1
22325	Vav2
22376	Was
224129	Adcy5
227288	Cxcr1
23797	Akt3
23832	Xcr1
24013	Grk1
24047	Ccl19
26385	Grk6
26395	Map2k1
26413	Mapk1
26417	Mapk3
271849	Shc4
277360	Prex1
30955	Pik3cg
320129	Adrbk2
320207	Pik3r5
330122	Cxcl3
432530	Adcy1
541307	Ccl26
55985	Cxcl13
56066	Cxcl11
56221	Ccl24
56484	Foxo3
56637	Gsk3b
56744	Pf4
56838	Ccl28
57257	Vav3
57266	Cxcl14
57349	Ppbp
606496	Gsk3a
621580	Gm13308
64337	Gng13
65956	Ccl21c
66066	Gng11
66102	Cxcl16
666513	Gm11787
67653	4930544G11Rik
73178	Wasl
74769	Pik3cb
80901	Cxcr6
93742	Pard3
94176	Dock2
