gid	sym
108723	Card11
110157	Raf1
11651	Akt1
11652	Akt2
11848	Rhoa
12042	Bcl10
12402	Cbl
12477	Ctla4
12487	Cd28
12500	Cd3d
12501	Cd3e
12502	Cd3g
12503	Cd247
12504	Cd4
12525	Cd8a
12526	Cd8b1
12540	Cdc42
12567	Cdk4
12675	Chuk
12981	Csf2
13383	Dlg1
14281	Fos
14360	Fyn
14784	Grb2
15170	Ptpn6
15461	Hras
15978	Ifng
16150	Ikbkb
16151	Ikbkg
16153	Il10
16183	Il2
16189	Il4
16191	Il5
16428	Itk
16476	Jun
16653	Kras
16797	Lat
16818	Lck
16822	Lcp2
17444	Grap2
17973	Nck1
17974	Nck2
18018	Nfatc1
18019	Nfatc2
18021	Nfatc3
18033	Nfkb1
18035	Nfkbia
18036	Nfkbib
18037	Nfkbie
18176	Nras
18479	Pak1
18481	Pak3
18566	Pdcd1
18607	Pdpk1
18706	Pik3ca
18707	Pik3cd
18708	Pik3r1
18709	Pik3r2
18710	Pik3r3
18761	Prkcq
18803	Plcg1
19055	Ppp3ca
19056	Ppp3cb
19057	Ppp3cc
19058	Ppp3r1
19059	Ppp3r2
19094	Mapk11
19264	Ptprc
19419	Rasgrp1
19697	Rela
20662	Sos1
20663	Sos2
208650	Cblb
214230	Pak6
21682	Tec
21926	Tnf
21947	Cd40lg
22324	Vav1
22325	Vav2
224105	Pak2
22637	Zap70
23797	Akt3
240354	Malt1
241656	Pak7
26395	Map2k1
26396	Map2k2
26400	Map2k7
26409	Map3k7
26410	Map3k8
26413	Mapk1
26415	Mapk13
26416	Mapk14
26417	Mapk3
26420	Mapk9
29857	Mapk12
30955	Pik3cg
320207	Pik3r5
53859	Map3k14
54167	Icos
56637	Gsk3b
57257	Vav3
67653	4930544G11Rik
70584	Pak4
74769	Pik3cb
80794	Cblc
