gid	sym
102580	Alg9
103534	Mgat4b
103963	Rpn1
107895	Mgat5
13135	Dad1
13200	Ddost
13478	Dpagt1
13480	Dpm1
13481	Dpm2
140481	Man2a2
14376	Ganab
14595	B4galt1
16430	Stt3a
17155	Man1a
17156	Man1a2
17158	Man2a1
17308	Mgat1
17309	Mgat3
20014	Rpn2
20440	St6gal1
207958	Alg11
208211	Alg1
208624	Alg3
217664	Mgat2
223774	Alg12
227619	Man1b1
227697	Dolk
230815	Man1c1
240119	St6gal2
268510	Mgat5b
269181	Mgat4a
320302	Glt28d2
320438	Alg6
380959	Alg10b
381903	Alg8
53418	B4galt2
53618	Fut8
56737	Alg2
57170	Dolpp1
57370	B4galt3
57377	Mogs
66248	Alg5
66789	Alg14
67555	Mgat4d
67569	Mgat4c
67574	Alg13
68292	Stt3b
68563	Dpm3
80286	Tusc3
