gid	sym
100042150	Nrg2
108058	Camk2d
109880	Braf
110157	Raf1
11350	Abl1
11352	Abl2
11651	Akt1
11652	Akt2
11836	Araf
11839	Areg
12015	Bad
12223	Btc
12322	Camk2a
12323	Camk2b
12325	Camk2g
12402	Cbl
12575	Cdkn1a
12576	Cdkn1b
12928	Crk
12929	Crkl
13645	Egf
13649	Egfr
13685	Eif4ebp1
13712	Elk1
13866	Erbb2
13867	Erbb3
13869	Erbb4
13874	Ereg
14083	Ptk2
14388	Gab1
14784	Grb2
15200	Hbegf
15461	Hras
16476	Jun
16653	Kras
17869	Myc
17973	Nck1
17974	Nck2
18176	Nras
18183	Nrg3
18479	Pak1
18481	Pak3
18706	Pik3ca
18707	Pik3cd
18708	Pik3r1
18709	Pik3r2
18710	Pik3r3
18750	Prkca
18751	Prkcb
18752	Prkcg
18803	Plcg1
20416	Shc1
20418	Shc3
20662	Sos1
20663	Sos2
20779	Src
20850	Stat5a
20851	Stat5b
208650	Cblb
211323	Nrg1
214230	Pak6
216148	Shc2
21802	Tgfa
224105	Pak2
234779	Plcg2
23797	Akt3
241656	Pak7
26395	Map2k1
26396	Map2k2
26398	Map2k4
26400	Map2k7
26413	Mapk1
26414	Mapk10
26417	Mapk3
26419	Mapk8
26420	Mapk9
271849	Shc4
30955	Pik3cg
320207	Pik3r5
56637	Gsk3b
56717	Mtor
58988	Rps6kb2
70584	Pak4
72508	Rps6kb1
74769	Pik3cb
80794	Cblc
83961	Nrg4
