gid	sym
104110	Adcy4
104111	Adcy3
106952	Arap3
108058	Camk2d
109305	Orai1
109648	Npy
109880	Braf
109905	Rap1a
110157	Raf1
110385	Pde4c
11430	Acox1
11512	Adcy6
11513	Adcy7
11514	Adcy8
11515	Adcy9
11517	Adcyap1r1
11539	Adora1
11540	Adora2a
11554	Adrb1
11555	Adrb2
11651	Akt1
11652	Akt2
11705	Amh
11848	Rhoa
11928	Atp1a1
11931	Atp1b1
11932	Atp1b2
11933	Atp1b3
11936	Fxyd2
11938	Atp2a2
11941	Atp2b2
12015	Bad
12064	Bdnf
12288	Cacna1c
12289	Cacna1d
12292	Cacna1s
12313	Calm1
12314	Calm2
12315	Calm3
12322	Camk2a
12323	Camk2b
12325	Camk2g
12326	Camk4
12638	Cftr
12669	Chrm1
12788	Cnga1
12789	Cnga2
12790	Cnga3
12912	Creb1
12913	Creb3
12914	Crebbp
13488	Drd1
13489	Drd2
13492	Drd5
13617	Ednra
14062	F2r
14281	Fos
14308	Fshb
14309	Fshr
14632	Gli1
14634	Gli3
14652	Glp1r
14677	Gnai1
14678	Gnai2
14679	Gnai3
14683	Gnas
14799	Gria1
14800	Gria2
14802	Gria4
14810	Grin1
14811	Grin2a
14812	Grin2b
14813	Grin2c
14814	Grin2d
15166	Hcn2
15245	Hhip
15550	Htr1a
15551	Htr1b
15552	Htr1d
15557	Htr1f
15562	Htr4
15565	Htr6
16476	Jun
16890	Lipe
170483	Grin3b
170758	Rac3
17200	Mc2r
17356	Mllt4
17931	Ppp1r12a
18018	Nfatc1
18033	Nfkb1
18035	Nfkbia
18160	Npr1
18166	Npy1r
18430	Oxtr
18479	Pak1
18576	Pde3b
18577	Pde4a
18578	Pde4b
18706	Pik3ca
18707	Pik3cd
18708	Pik3r1
18709	Pik3r2
18710	Pik3r3
18747	Prkaca
18749	Prkacb
18805	Pld1
18806	Pld2
18821	Pln
19013	Ppara
19045	Ppp1ca
19046	Ppp1cb
19047	Ppp1cc
19049	Ppp1r1b
19206	Ptch1
19217	Ptger2
19218	Ptger3
19353	Rac1
19354	Rac2
19697	Rela
19877	Rock1
19878	Rock2
20130	Rras
20191	Ryr2
20544	Slc9a1
20605	Sstr1
20606	Sstr2
20609	Sstr5
20682	Sox9
208188	Ghsr
208647	Creb3l2
208677	Creb3l3
210044	Adcy2
215449	Rap1b
21844	Tiam1
21954	Tnni3
22095	Tshr
22324	Vav1
22325	Vav2
22355	Vipr2
223864	Rapgef3
224129	Adcy5
231991	Creb5
232975	Atp1a3
233079	Ffar2
233649	Cnga4
236781	Gpr119
23797	Akt3
238871	Pde4d
239273	Abcc4
242425	Gabbr2
242443	Grin3a
243270	Hcar1
243764	Chrm2
26395	Map2k1
26396	Map2k2
26413	Mapk1
26414	Mapk10
26417	Mapk3
26419	Mapk8
26420	Mapk9
26427	Creb3l1
271639	Adcy10
27222	Atp1a4
30952	Cngb3
30955	Pik3cg
320207	Pik3r5
320707	Atp2b3
328572	Ep300
330953	Hcn4
333329	Cngb1
381290	Atp2b4
381853	Gipr
432530	Adcy1
434233	Gm5601
494124	Calm5
53623	Gria3
54393	Gabbr1
54611	Pde3a
54652	Cacna1f
56188	Fxyd1
56508	Rapgef4
57257	Vav3
58991	Ghrl
66922	Rras2
67653	4930544G11Rik
67821	Atp1b4
67972	Atp2b1
70405	Calml3
74055	Plce1
74769	Pik3cb
78284	Creb3l4
80796	Calm4
80885	Hcar2
80911	Acox3
84112	Sucnr1
98660	Atp1a2
98932	Myl9
