gid	sym
107831	Adgrb1
107986	Ddb2
11783	Apaf1
11920	Atm
12028	Bax
12122	Bid
12367	Casp3
12370	Casp8
12371	Casp9
12442	Ccnb2
12443	Ccnd1
12444	Ccnd2
12445	Ccnd3
12447	Ccne1
12448	Ccne2
12450	Ccng1
12452	Ccng2
12521	Cd82
12534	Cdk1
12566	Cdk2
12567	Cdk4
12571	Cdk6
12575	Cdkn1a
12578	Cdkn2a
12649	Chek1
13063	Cycs
13067	Cyct
13197	Gadd45a
13663	Ei24
140742	Sesn1
14102	Fas
16000	Igf1
16009	Igfbp3
170770	Bbc3
17246	Mdm2
17248	Mdm4
17873	Gadd45b
18787	Serpine1
19211	Pten
20135	Rrm2
20437	Siah1a
20438	Siah1b
20724	Serpinb5
209091	Ccnb3
21825	Thbs1
22059	Trp53
22062	Trp73
22084	Tsc2
22401	Zmat3
230784	Sesn2
23882	Gadd45g
245000	Atr
26374	Rfwd2
268697	Ccnb1
29870	Gtse1
382985	Rrm2b
50883	Chek2
53892	Ppm1d
55948	Sfn
57913	Pidd1
58801	Pmaip1
64058	Perp
66940	Shisa5
67874	Rprm
68098	Rchy1
68428	Steap3
75747	Sesn3
98376	Gorab
