gid	sym
11783	Apaf1
12015	Bad
12028	Bax
12043	Bcl2
12048	Bcl2l1
12122	Bid
12359	Cat
12362	Casp1
12364	Casp12
12367	Casp3
12371	Casp9
12460	Ccs
13063	Cycs
13067	Cyct
13163	Daxx
14775	Gpx1
14799	Gria1
14800	Gria2
14810	Grin1
14811	Grin2a
14812	Grin2b
14813	Grin2c
14814	Grin2d
18039	Nefl
18040	Nefm
18125	Nos1
19055	Ppp3ca
19056	Ppp3cb
19057	Ppp3cc
19058	Ppp3r1
19059	Ppp3r2
19094	Mapk11
19132	Prph
19353	Rac1
20511	Slc1a2
20655	Sod1
21926	Tnf
21937	Tnfrsf1a
21938	Tnfrsf1b
22059	Trp53
26397	Map2k3
26399	Map2k6
26408	Map3k5
26415	Mapk13
26416	Mapk14
271457	Rab5a
29857	Mapk12
380684	Nefh
53333	Tomm40
641376	Tomm40l
67819	Derl1
74018	Als2
