gid	sym
100862375	Gm21685
100862456	LOC100862456
102641086	LOC102641086
103149	Upb1
103850	Nt5m
107569	Nt5c3
110074	Dut
12495	Entpd1
12497	Entpd6
12499	Entpd5
13178	Dck
16434	Itpa
171567	Nme7
18102	Nme1
18103	Nme2
18950	Pnp
18968	Pola1
18969	Pola2
18971	Pold1
18972	Pold2
18973	Pole
18974	Pole2
19075	Prim1
19076	Prim2
20016	Polr1c
20017	Polr1b
20018	Polr1d
20019	Polr1a
20020	Polr2a
20021	Polr2c
20022	Polr2j
20133	Rrm1
20135	Rrm2
215446	Entpd3
21877	Tk1
218832	Polr3a
21915	Dtymk
22169	Cmpk2
22171	Tyms
22245	Uck1
22247	Umps
22271	Upp1
230718	Nt5c1a
231329	Polr2b
232223	Txnrd3
23959	Nt5e
245841	Polr2h
26462	Txnrd2
26939	Polr3e
28071	Twistnb
320685	Dctd
331487	Uprt
382985	Rrm2b
50493	Txnrd1
50773	Nt5c
51797	Ctps
54369	Nme6
55936	Ctps2
56520	Nme4
56749	Dhodh
57813	Tk2
59001	Pole3
633979	Ak9
64424	Polr1e
64705	Dpys
66136	Znrd1
66401	Nudt2
66420	Polr2e
66422	Dctpp1
66491	Polr2l
66588	Cmpk1
667034	Pnp2
66763	4933425L06Rik
66979	Pole4
67005	Polr3k
67065	Polr3d
67464	Entpd4
67486	Polr3g
67710	Polr2g
67967	Pold3
68106	Nt5c3b
68556	Uckl1
69241	Polr2d
69719	Cad
69745	Pold4
69833	Polr2f
69870	Polr3gl
69920	Polr2i
70408	Polr3f
70428	Polr3b
70881	Nt5c1b
71701	Pnpt1
72090	Entpd8
72269	Cda
72962	Tymp
74414	Polr3c
75533	Nme5
76025	Cant1
76654	Upp2
76952	Nt5c2
78929	Polr3h
79059	Nme3
80914	Uck2
99586	Dpyd
