gid	sym
100039801	Cldn24
105242493	LOC105242493
106759	Ticam1
109880	Braf
110157	Raf1
114141	Cldn16
11651	Akt1
11652	Akt2
11836	Araf
12015	Bad
12520	Cd81
12575	Cdkn1a
12675	Chuk
12702	Socs3
12737	Cldn1
12738	Cldn2
12739	Cldn3
12740	Cldn4
12741	Cldn5
13645	Egf
13649	Egfr
13665	Eif2s1
13666	Eif2ak3
142980	Tlr3
14784	Grb2
15461	Hras
15467	Eif2ak1
15957	Ifit1
15962	Ifna1
15964	Ifna11
15965	Ifna2
15967	Ifna4
15968	Ifna5
15969	Ifna6
15970	Ifna7
15972	Ifna9
15974	Ifnab
15975	Ifnar1
15976	Ifnar2
15977	Ifnb1
16150	Ikbkb
16151	Ikbkg
16341	Eif3e
16362	Irf1
16391	Irf9
16451	Jak1
16653	Kras
16835	Ldlr
18033	Nfkb1
18035	Nfkbia
18176	Nras
18260	Ocln
18417	Cldn11
18607	Pdpk1
18706	Pik3ca
18707	Pik3cd
18708	Pik3r1
18709	Pik3r2
18710	Pik3r3
19013	Ppara
19052	Ppp2ca
19053	Ppp2cb
19094	Mapk11
19106	Eif2ak2
19192	Psme3
19697	Rela
19766	Ripk1
20181	Rxra
20662	Sos1
20663	Sos2
20778	Scarb1
20846	Stat1
20847	Stat2
20848	Stat3
21926	Tnf
21937	Tnfrsf1a
22030	Traf2
22031	Traf3
22034	Traf6
22059	Trp53
22259	Nr1h3
228607	Mavs
230073	Ddx58
230396	Ifna13
23797	Akt3
23960	Oas1g
23961	Oas1b
239931	Cldn17
24014	Rnasel
242517	Ifna15
242519	Ifna12
242653	Cldn19
246727	Oas3
246728	Oas2
246730	Oas1a
26413	Mapk1
26414	Mapk10
26415	Mapk13
26416	Mapk14
26417	Mapk3
26419	Mapk8
26420	Mapk9
269643	Ppp2r2c
27103	Eif2ak4
29857	Mapk12
30955	Pik3cg
320207	Pik3r5
404549	Ifna14
51792	Ppp2r1a
52432	Ppp2r2d
53624	Cldn7
54123	Irf7
54131	Irf3
54419	Cldn6
54420	Cldn8
54721	Tyk2
56173	Cldn14
56469	Pias1
56480	Tbk1
56489	Ikbke
56492	Cldn18
56637	Gsk3b
56863	Cldn9
57255	Cldn13
58187	Cldn10
60363	Cldn15
621628	Cldn20
667373	Ifit1bl1
71609	Tradd
71908	Cldn23
71978	Ppp2r2a
72930	Ppp2r2b
73699	Ppp2r1b
73934	Cldn34c4
74769	Pik3cb
74987	Cldn34d
75677	Cldn22
